Codarticulo,Descripcion,Descadic,Familia,Codbarra,marca
0307000190,740031MK TXL GRIS MG AM.FL,BABUCHA,INDUMENTARIA,74003104323,MKFITNESS
0307000200,740031MK TXL GRIS MG RS.FL,BABUCHA,INDUMENTARIA,74003104324,MKFITNESS
0307000210,740031MK BABUCHA,BABUCHA,INDUMENTARIA,740031MK,MKFITNESS
0310000090,750000 TS NEGRO,CAMPERA,INDUMENTARIA,7500000103,MKFITNESS
0310000100,750000 TS MELANGE,CAMPERA,INDUMENTARIA,7500000104,MKFITNESS
0310000110,750000 TM NEGRO,CAMPERA,INDUMENTARIA,7500000203,MKFITNESS
0310000120,750000 TM MELANGE,CAMPERA,INDUMENTARIA,7500000204,MKFITNESS
0310000130,750000 TL NEGRO,CAMPERA,INDUMENTARIA,7500000303,MKFITNESS
0310000140,750000 TL MELANGE,CAMPERA,INDUMENTARIA,7500000304,MKFITNESS
0310000150,750000 TXL NEGRO,CAMPERA,INDUMENTARIA,7500000403,MKFITNESS
0310000160,750000 TXL MELANGE,CAMPERA,INDUMENTARIA,7500000404,MKFITNESS
0310000170,750003 TS NEGRO,CAMPERA,INDUMENTARIA,7500030103,MKFITNESS
0310000180,750003 TS GRIS MILANGE,CAMPERA,INDUMENTARIA,7500030104,MKFITNESS
0310000190,750003 TM NEGRO,CAMPERA,INDUMENTARIA,7500030203,MKFITNESS
0310000200,750003 TM GRIS MILANGE,CAMPERA,INDUMENTARIA,7500030204,MKFITNESS
0310000210,750003 TL NEGRO,CAMPERA,INDUMENTARIA,7500030303,MKFITNESS
0310000220,750003 TL GRIS MILANGE,CAMPERA,INDUMENTARIA,7500030304,MKFITNESS
0310000230,750003 TXL NEGRO,CAMPERA,INDUMENTARIA,7500030403,MKFITNESS
0310000240,750003 TXL GRIS MILANGE,CAMPERA,INDUMENTARIA,7500030404,MKFITNESS
0310000250,750006MK TS BLANCO,CAMPERA,INDUMENTARIA,7500060101,MKFITNESS
0310000260,750006MK TS NEGRO,CAMPERA,INDUMENTARIA,7500060103,MKFITNESS
0310000270,750006MK TM BLANCO,CAMPERA,INDUMENTARIA,7500060201,MKFITNESS
0310000280,750006MK TM NEGRO,CAMPERA,INDUMENTARIA,7500060203,MKFITNESS
0310000290,750006MK TL BLANCO,CAMPERA,INDUMENTARIA,7500060301,MKFITNESS
0310000300,750006MK TL NEGRO,CAMPERA,INDUMENTARIA,7500060303,MKFITNESS
0310000310,750006MK TXL BLANCO,CAMPERA,INDUMENTARIA,7500060401,MKFITNESS
0310000320,750006MK TXL NEGRO,CAMPERA,INDUMENTARIA,7500060403,MKFITNESS
0310000330,750007MK TS NEGRO,CAMPERA,INDUMENTARIA,7500070103,MKFITNESS
0310000340,750007MK TM NEGRO,CAMPERA,INDUMENTARIA,7500070203,MKFITNESS
0310000350,750007MK TL NEGRO,CAMPERA,INDUMENTARIA,7500070303,MKFITNESS
0310000360,750007MK TXL NEGRO,CAMPERA,INDUMENTARIA,7500070403,MKFITNESS
0310000370,750011MK TS NEGRO,CAMPERA,INDUMENTARIA,7500110103,MKFITNESS
0310000380,750011MK TS GR.PERLA,CAMPERA,INDUMENTARIA,7500110111,MKFITNESS
0310000390,750011MK TS CELESTE,CAMPERA,INDUMENTARIA,7500110134,MKFITNESS
0310000400,750011MK TM NEGRO,CAMPERA,INDUMENTARIA,7500110203,MKFITNESS
0310000410,750011MK TM GR.PERLA,CAMPERA,INDUMENTARIA,7500110211,MKFITNESS
0310000420,750011MK TM CELESTE,CAMPERA,INDUMENTARIA,7500110234,MKFITNESS
0310000430,750011MK TL NEGRO,CAMPERA,INDUMENTARIA,7500110303,MKFITNESS
0310000440,750011MK TL GR.PERLA,CAMPERA,INDUMENTARIA,7500110311,MKFITNESS
0310000450,750011MK TL CELESTE,CAMPERA,INDUMENTARIA,7500110334,MKFITNESS
0310000460,750011MK TXL NEGRO,CAMPERA,INDUMENTARIA,7500110403,MKFITNESS
0310000470,750011MK TXL GR.PERLA,CAMPERA,INDUMENTARIA,7500110411,MKFITNESS
0310000480,750011MK TXL CELESTE,CAMPERA,INDUMENTARIA,7500110434,MKFITNESS
0310000490,750012MK TS NEGRO,CAMPERA,INDUMENTARIA,7500120103,MKFITNESS
0310000500,750012MK TM NEGRO,CAMPERA,INDUMENTARIA,7500120203,MKFITNESS
0310000510,750012MK TL NEGRO,CAMPERA,INDUMENTARIA,7500120303,MKFITNESS
0310000520,750012MK TXL NEGRO,CAMPERA,INDUMENTARIA,7500120403,MKFITNESS
0310000530,750018MK TS NEGRO,CAMPERA,INDUMENTARIA,7500180103,MKFITNESS
0310000540,750018MK TM NEGRO,CAMPERA,INDUMENTARIA,7500180203,MKFITNESS
0310000550,750018MK TL NEGRO,CAMPERA,INDUMENTARIA,7500180303,MKFITNESS
0310000560,750018MK TXL NEGRO,CAMPERA,INDUMENTARIA,7500180403,MKFITNESS
0310000570,750003 TS AZUL,CAMPERA,INDUMENTARIA,75000301130,MKFITNESS
0310000580,750003 TM AZUL,CAMPERA,INDUMENTARIA,75000302130,MKFITNESS
0310000590,750003 TL AZUL,CAMPERA,INDUMENTARIA,75000303130,MKFITNESS
0310000600,750003 TXL AZUL,CAMPERA,INDUMENTARIA,75000304130,MKFITNESS
0310000610,750004 TS CORAL FLUO,CAMPERA,INDUMENTARIA,75000401208,MKFITNESS
0310000620,750004 TS NJA FLUOR,CAMPERA,INDUMENTARIA,75000401241,MKFITNESS
0310000630,750004 TM CORAL FLUO,CAMPERA,INDUMENTARIA,75000402208,MKFITNESS
0310000640,750004 TM NJA FLUOR,CAMPERA,INDUMENTARIA,75000402241,MKFITNESS
0310000650,750004 TL CORAL FLUO,CAMPERA,INDUMENTARIA,75000403208,MKFITNESS
0310000660,750004 TL NJA FLUOR,CAMPERA,INDUMENTARIA,75000403241,MKFITNESS
0310000670,750004 TXL CORAL FLUO,CAMPERA,INDUMENTARIA,75000404208,MKFITNESS
0310000680,750004 TXL NJA FLUOR,CAMPERA,INDUMENTARIA,75000404241,MKFITNESS
0310000690,750005MK TS GRIS NGRO,CAMPERA,INDUMENTARIA,75000501112,MKFITNESS
0310000700,750005MK TS GRIS ROSA,CAMPERA,INDUMENTARIA,75000501159,MKFITNESS
0310000710,750005MK TS GRIS AMAR,CAMPERA,INDUMENTARIA,75000501223,MKFITNESS
0310000720,750005MK TM GRIS NGRO,CAMPERA,INDUMENTARIA,75000502112,MKFITNESS
0310000730,750005MK TM GRIS ROSA,CAMPERA,INDUMENTARIA,75000502159,MKFITNESS
0310000740,750005MK TM GRIS AMAR,CAMPERA,INDUMENTARIA,75000502223,MKFITNESS
0310000750,750005MK TL GRIS NGRO,CAMPERA,INDUMENTARIA,75000503112,MKFITNESS
0310000760,750005MK TL GRIS ROSA,CAMPERA,INDUMENTARIA,75000503159,MKFITNESS
0310000770,750005MK TL GRIS AMAR,CAMPERA,INDUMENTARIA,75000503223,MKFITNESS
0310000780,750005MK TXL GRIS NGRO,CAMPERA,INDUMENTARIA,75000504112,MKFITNESS
0310000790,750005MK TXL GRIS ROSA,CAMPERA,INDUMENTARIA,75000504159,MKFITNESS
0310000800,750005MK TXL GRIS AMAR,CAMPERA,INDUMENTARIA,75000504223,MKFITNESS
0310000810,750006MK TS CORAL,CAMPERA,INDUMENTARIA,75000601208,MKFITNESS
0310000820,750006MK TS GRIS CLARO,CAMPERA,INDUMENTARIA,75000601266,MKFITNESS
0310000830,750006MK TM CORAL,CAMPERA,INDUMENTARIA,75000602208,MKFITNESS
0310000840,750006MK TM GRIS CLARO,CAMPERA,INDUMENTARIA,75000602266,MKFITNESS
0310000850,750006MK TL CORAL,CAMPERA,INDUMENTARIA,75000603208,MKFITNESS
0310000860,750006MK TL GRIS CLARO,CAMPERA,INDUMENTARIA,75000603266,MKFITNESS
0310000870,750006MK TXL CORAL,CAMPERA,INDUMENTARIA,75000604208,MKFITNESS
0310000880,750006MK TXL GRIS CLARO,CAMPERA,INDUMENTARIA,75000604266,MKFITNESS
