virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc
,SIGRY-Art:1240S,0101127190,0101122420,SIGRY-Art 1240S-0101127190,T85,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - BLANCO
,SIGRY-Art:1240S,0101127200,0101122420,SIGRY-Art 1240S-0101127200,T85,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - NEGRO
,SIGRY-Art:1240S,0101127210,0101122420,SIGRY-Art 1240S-0101127210,T85,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - AZUL
,SIGRY-Art:1240S,0101127220,0101122420,SIGRY-Art 1240S-0101127220,T85,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - ROSA/PETALO
,SIGRY-Art:1240S,0101127230,0101122420,SIGRY-Art 1240S-0101127230,T85,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - ESMERALDA
,SIGRY-Art:1240S,0101127240,0101122420,SIGRY-Art 1240S-0101127240,T85,VIOLETA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - VIOLETA
,SIGRY-Art:1240S,0101127250,0101122420,SIGRY-Art 1240S-0101127250,T85,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - FRUTILLA
,SIGRY-Art:1240S,0101132560,0101122420,SIGRY-Art 1240S-0101132560,T85,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - AZUL
,SIGRY-Art:1240S,0101133510,0101122420,SIGRY-Art 1240S-0101133510,T85,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - BLANCO
,SIGRY-Art:1240S,0101133550,0101122420,SIGRY-Art 1240S-0101133550,T85,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - FRUTILLA
,SIGRY-Art:1240S,0101133590,0101122420,SIGRY-Art 1240S-0101133590,T85,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T85 - NEGRO
,SIGRY-Art:1240S,0101127260,0101122420,SIGRY-Art 1240S-0101127260,T90,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - BLANCO
,SIGRY-Art:1240S,0101127270,0101122420,SIGRY-Art 1240S-0101127270,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - NEGRO
,SIGRY-Art:1240S,0101127280,0101122420,SIGRY-Art 1240S-0101127280,T90,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - AZUL
,SIGRY-Art:1240S,0101127290,0101122420,SIGRY-Art 1240S-0101127290,T90,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - ROSA/PETALO
,SIGRY-Art:1240S,0101127300,0101122420,SIGRY-Art 1240S-0101127300,T90,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - ESMERALDA
,SIGRY-Art:1240S,0101127310,0101122420,SIGRY-Art 1240S-0101127310,T90,VIOLETA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - VIOLETA
,SIGRY-Art:1240S,0101127320,0101122420,SIGRY-Art 1240S-0101127320,T90,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - FRUTILLA
,SIGRY-Art:1240S,0101132570,0101122420,SIGRY-Art 1240S-0101132570,T90,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - AZUL
,SIGRY-Art:1240S,0101133520,0101122420,SIGRY-Art 1240S-0101133520,T90,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - BLANCO
,SIGRY-Art:1240S,0101133560,0101122420,SIGRY-Art 1240S-0101133560,T90,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - FRUTILLA
,SIGRY-Art:1240S,0101133600,0101122420,SIGRY-Art 1240S-0101133600,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T90 - NEGRO
,SIGRY-Art:1240S,0101127330,0101122420,SIGRY-Art 1240S-0101127330,T95,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - BLANCO
,SIGRY-Art:1240S,0101127340,0101122420,SIGRY-Art 1240S-0101127340,T95,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - NEGRO
