Codart,Descripcion,Desc_adic,Familia,Codbarras,Marca
0101043590,203F CONJ FAIRUZ,CONJUNTO,LENCERIA,203F,FAIRUZ
0101043600,2040F CONJ FAIRUZ,CONJUNTO,LENCERIA,2040F,FAIRUZ
0101043610,2041F CONJ FAIRUZ,CONJUNTO,LENCERIA,2041F,FAIRUZ
0101043620,2041FE CONJ FAIRUZ ESPECIAL,CONJUNTO,LENCERIA,2041FE,FAIRUZ
0101043630,2042F CONJ FAIRUZ,CONJUNTO,LENCERIA,2042F,FAIRUZ
0101043640,2043F CONJ FAIRUZ,CONJUNTO,LENCERIA,2043F,FAIRUZ
0101043650,2044F CONJ FAIRUZ,CONJUNTO,LENCERIA,2044F,FAIRUZ
0101043660,2045F CONJ FAIRUZ,CONJUNTO,LENCERIA,2045F,FAIRUZ
0101043670,2046F CONJ FAIRUZ,CONJUNTO,LENCERIA,2046F,FAIRUZ
0101043680,2047F CONJ FAIRUZ,CONJUNTO,LENCERIA,2047F,FAIRUZ
0101043690,2048F CONJ FAIRUZ,CONJUNTO,LENCERIA,2048F,FAIRUZ
0101043700,2049F CONJ FAIRUZ,CONJUNTO,LENCERIA,2049F,FAIRUZ
0101043710,204F CONJ FAIRUZ,CONJUNTO,LENCERIA,204F,FAIRUZ
0101043720,2050F CONJ FAIRUZ,CONJUNTO,LENCERIA,2050F,FAIRUZ
0101043730,2051F CONJ FAIRUZ,CONJUNTO,LENCERIA,2051F,FAIRUZ
0101043740,2052F CONJ FAIRUZ,CONJUNTO,LENCERIA,2052F,FAIRUZ
0101043750,2053F CONJ FAIRUZ,CONJUNTO,LENCERIA,2053F,FAIRUZ
0101043760,2055F CONJ FAIRUZ,CONJUNTO,LENCERIA,2055F,FAIRUZ
0101043770,2055FE CONJ FAIRUZ ESPECIAL,CONJUNTO,LENCERIA,2055FE,FAIRUZ
0101043780,2057F CONJ FAIRUZ,CONJUNTO,LENCERIA,2057F,FAIRUZ
0101043790,205F CONJ FAIRUZ,CONJUNTO,LENCERIA,205F,FAIRUZ
0101043800,2060F CONJ FAIRUZ,CONJUNTO,LENCERIA,2060F,FAIRUZ
0101043810,2061F CONJ FAIRUZ,CONJUNTO,LENCERIA,2061F,FAIRUZ
0101043820,2062F CONJ FAIRUZ,CONJUNTO,LENCERIA,2062F,FAIRUZ
0101043830,2065F CONJ FAIRUZ,CONJUNTO,LENCERIA,2065F,FAIRUZ
0101043840,2070F CONJ FAIRUZ,CONJUNTO,LENCERIA,2070F,FAIRUZ
0101043850,2072F CONJ FAIRUZ,CONJUNTO,LENCERIA,2072F,FAIRUZ
0101043860,2073F CONJ FAIRUZ,CONJUNTO,LENCERIA,2073F,FAIRUZ
0101043870,2075F CONJ FAIRUZ,CONJUNTO,LENCERIA,2075F,FAIRUZ
0101043880,2076F CONJUNTO,CONJUNTO,LENCERIA,2076F,FAIRUZ
0101043890,2077F CONJUNTO,CONJUNTO,LENCERIA,2077F,FAIRUZ
0101043900,207F CONJ FAIRUZ,CONJUNTO,LENCERIA,207F,FAIRUZ
0101043910,2080F CONJ FAIRUZ,CONJUNTO,LENCERIA,2080F,FAIRUZ
0101043920,2081F CONJ FAIRUZ,CONJUNTO,LENCERIA,2081F,FAIRUZ
0101043930,2082F CONJ FAIRUZ,CONJUNTO,LENCERIA,2082F,FAIRUZ
0101043940,2083F CONJ FAIRUZ,CONJUNTO,LENCERIA,2083F,FAIRUZ
0101043950,2084F CONJ FAIRUZ,CONJUNTO,LENCERIA,2084F,FAIRUZ
0101043960,2085F CONJ FAIRUZ,CONJUNTO,LENCERIA,2085F,FAIRUZ
0101043970,2086F CONJ FAIRUZ,CONJUNTO,LENCERIA,2086F,FAIRUZ
0101043980,2087F CONJ FAIRUZ,CONJUNTO,LENCERIA,2087F,FAIRUZ
0101043990,2088F CONJUNTO,CONJUNTO,LENCERIA,2088F,FAIRUZ
0101044000,2089F CONJUNTO,CONJUNTO,LENCERIA,2089F,FAIRUZ
0101044010,2092F CONJ FAIRUZ,CONJUNTO,LENCERIA,2092F,FAIRUZ
0101044020,220F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,220F,FAIRUZ
0101044030,221F CONJ FAIRUZ,CONJUNTO,LENCERIA,221F,FAIRUZ
0101044040,225F CONJ FAIRUZ,CONJUNTO,LENCERIA,225F,FAIRUZ
0101044050,226F CONJ FAIRUZ,CONJUNTO,LENCERIA,226F,FAIRUZ
0101044060,227F CONJ FAIRUZ,CONJUNTO,LENCERIA,227F,FAIRUZ
0101044070,230F CONJ FAIRUZ,CONJUNTO,LENCERIA,230F,FAIRUZ
0101044080,231F CONJ FAIRUZ,CONJUNTO,LENCERIA,231F,FAIRUZ
0101044090,232F CONJ FAIRUZ,CONJUNTO,LENCERIA,232F,FAIRUZ
0101044100,233F CONJ FAIRUZ,CONJUNTO,LENCERIA,233F,FAIRUZ
0101044110,234F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,234F,FAIRUZ
0101044120,235F CONJ FAIRUZ,CONJUNTO,LENCERIA,235F,FAIRUZ
0101044130,236F CONJ FAIRUZ,CONJUNTO,LENCERIA,236F,FAIRUZ
0101044140,237F CONJ FAIRUZ,CONJUNTO,LENCERIA,237F,FAIRUZ
0101044150,238F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,238F,FAIRUZ
0101044160,239F CONJ FAIRUZ,CONJUNTO,LENCERIA,239F,FAIRUZ
0101044170,240F CONJ FAIRUZ,CONJUNTO,LENCERIA,240F,FAIRUZ
0101044180,244F CONJ FAIRUZ,CONJUNTO,LENCERIA,244F,FAIRUZ
0101044190,247F CONJ FAIRUZ,CONJUNTO,LENCERIA,247F,FAIRUZ
0101044200,248F CONJ FAIRUZ,CONJUNTO,LENCERIA,248F,FAIRUZ
0101044210,251F CONJ FAIRUZ,CONJUNTO,LENCERIA,251F,FAIRUZ
0101044220,253F CONJ FAIRUZ,CONJUNTO,LENCERIA,253F,FAIRUZ
0101044230,257F CONJ FAIRUZ,CONJUNTO,LENCERIA,257F,FAIRUZ
0101044240,259F CONJ FAIRUZ,CONJUNTO,LENCERIA,259F,FAIRUZ
0101044250,260F CONJ FAIRUZ,CONJUNTO,LENCERIA,260F,FAIRUZ
0101044260,261F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,261F,FAIRUZ
0101044270,266F CONJ FAIRUZ,CONJUNTO,LENCERIA,266F,FAIRUZ
0101044280,267F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,267F,FAIRUZ
0101044290,270F FAIRUS,CONJUNTO,LENCERIA,270F,FAIRUZ
0101044300,273F CONJ FAIRUZ,CONJUNTO,LENCERIA,273F,FAIRUZ
0101044310,275F CONJ FAIRUZ,CONJUNTO,LENCERIA,275F,FAIRUZ
0101044320,276F CONJ FAIRUZ,CONJUNTO,LENCERIA,276F,FAIRUZ
0101044330,285F CONJ FAIRUZ,CONJUNTO,LENCERIA,285F,FAIRUZ
0101044340,286F CONJ FAIRUZ,CONJUNTO,LENCERIA,286F,FAIRUZ
0101044350,301F CONJ FAIRUZ,CONJUNTO,LENCERIA,301F,FAIRUZ
0101044360,303F CONJ FAIRUZ,CONJUNTO,LENCERIA,303F,FAIRUZ
0101044370,305F CONJ FAIRUZ,CONJUNTO,LENCERIA,305F,FAIRUZ
0101044380,308F CONJ FAIRUZ,CONJUNTO,LENCERIA,308F,FAIRUZ
0101044390,320F CONJ FAIRUZ,CONJUNTO,LENCERIA,320F,FAIRUZ
0101044400,425F CONJUNTO,CONJUNTO,LENCERIA,425F,FAIRUZ
0101044410,426F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,426F,FAIRUZ
0101154140,2090F CONJ FAIRUZ,CONJUNTO,LENCERIA,2090F,FAIRUZ
0101154150,2091F CONJ FAIRUZ,CONJUNTO,LENCERIA,2091F,FAIRUZ
0101154160,210F CONJ FAIRUZ,CONJUNTO,LENCERIA,210F,FAIRUZ
0101154170,211F CONJUNTO,CONJUNTO,LENCERIA,211F,FAIRUZ
0101154180,214F CONJ FAIRUZ,CONJUNTO,LENCERIA,214F,FAIRUZ
0101154190,215F FAIRUS,CONJUNTO,LENCERIA,215F,FAIRUZ
0101154200,217F CONJ FAIRUZ,CONJUNTO,LENCERIA,217F,FAIRUZ
0101154210,241F CONJ FAIRUZ,CONJUNTO,LENCERIA,241F,FAIRUZ
0101154220,242F CONJ FAIRUZ,CONJUNTO,LENCERIA,242F,FAIRUZ
0101154230,245F CONJ FAIRUZ,CONJUNTO,LENCERIA,245F,FAIRUZ
0101154240,249F CONJ FAIRUZ,CONJUNTO,LENCERIA,249F,FAIRUZ
0101154250,252F CONJ FAIRUZ,CONJUNTO,LENCERIA,252F,FAIRUZ
0101154260,254F CONJ FAIRUZ,CONJUNTO,LENCERIA,254F,FAIRUZ
0101154270,255F CONJ FAIRUZ,CONJUNTO,LENCERIA,255F,FAIRUZ
0101154280,256F CONJ FAIRUZ,CONJUNTO,LENCERIA,256F,FAIRUZ
0101154290,258F CONJ FAIRUZ,CONJUNTO,LENCERIA,258F,FAIRUZ
0101154300,262F CONJ FAIRUZ,CONJUNTO,LENCERIA,262F,FAIRUZ
0101154310,263F CONJ FAIRUZ,CONJUNTO,LENCERIA,263F,FAIRUZ
0101154320,264F CONJ FAIRUZ,CONJUNTO,LENCERIA,264F,FAIRUZ
0101154330,265F CONJ FAIRUZ,CONJUNTO,LENCERIA,265F,FAIRUZ
0101154340,268 CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,268F,FAIRUZ
0101154350,271F CONJ FAIRUZ,CONJUNTO,LENCERIA,271F,FAIRUZ
0101154360,277F CONJ FAIRUZ,CONJUNTO,LENCERIA,277F,FAIRUZ
0101154370,280F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,280F,FAIRUZ
0101154380,284F CONJ FAIRUZ,CONJUNTO,LENCERIA,284F,FAIRUZ
0101154390,290F,CONJUNTO,LENCERIA,290F,FAIRUZ
0101154400,292F CONJ FAIRUZ,CONJUNTO,LENCERIA,292F,FAIRUZ
0101154410,293F CONJ FAIRUZ,CONJUNTO,LENCERIA,293F,FAIRUZ
0101154420,294F CONJ FAIRUZ,CONJUNTO,LENCERIA,294F,FAIRUZ
0101154430,295F CONJ FAIRUZ,CONJUNTO,LENCERIA,295F,FAIRUZ
0101154440,296F CONJ FAIRUZ,CONJUNTO,LENCERIA,296F,FAIRUZ
0101154450,297F CONJ FAIRUZ,CONJUNTO,LENCERIA,297F,FAIRUZ
0101154460,298F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,298F,FAIRUZ
0101154470,299F CONJ FAIRUZ,CONJUNTO,LENCERIA,299F,FAIRUZ
0101154480,302F CONJ FAIRUZ,CONJUNTO,LENCERIA,302F,FAIRUZ
0101154490,307F CONJ. FAIRUZ,CONJUNTO,LENCERIA,307F,FAIRUZ
