Codigo,Descripcion,Descadicional,Familia,Codbarra,marca
0701001920,62148MK MEDIAS MK,SOQUETES,MEDIAS,621480099,mkmedias
0701001930,62149MK MEDIAS MK,SOQUETES,MEDIAS,621490099,mkmedias
0701001940,62150MK MEDIAS MK,SOQUETES,MEDIAS,621500099,mkmedias
0701001950,62151MK MEDIAS MK,SOQUETES,MEDIAS,621510099,mkmedias
0701001960,62152MK MEDIAS MK,SOQUETES,MEDIAS,621520099,mkmedias
0701001970,62153MK MEDIAS MK,SOQUETES,MEDIAS,621530099,mkmedias
0701001980,62154MK MEDIAS MK,SOQUETES,MEDIAS,621540099,mkmedias
0701001990,62155MK MEDIAS MK,SOQUETES,MEDIAS,621550099,mkmedias
0701002000,62156MK MEDIAS MK,SOQUETES,MEDIAS,621560099,mkmedias
0701002010,62157MK MEDIAS MK,SOQUETES,MEDIAS,621570099,mkmedias
0701002020,65200MK MEDIAS MK,SOQUETES,MEDIAS,652000099,mkmedias
0701002030,65200MK MEDIAS MK,SOQUETES,MEDIAS,652001299,mkmedias
0701002040,6000MK MEDIAS MK,SOQUETES,MEDIAS,6000MK,mkmedias
0701002050,6000MKP PACK  X3 MEDIAS MK,SOQUETES,MEDIAS,6000MKP,mkmedias
0701002060,6000MKP2 PACK  X2 MEDIAS MK,SOQUETES,MEDIAS,6000MKP2,mkmedias
0701002070,60100MK MEDIAS MK,SOQUETES,MEDIAS,60100MK,mkmedias
0701002080,60101MK  MEDIAS,SOQUETES,MEDIAS,60101MK,mkmedias
0701002090,60102MK  MEDIAS,SOQUETES,MEDIAS,60102MK,mkmedias
0701002100,60103MK  MEDIAS,SOQUETES,MEDIAS,60103MK,mkmedias
0701002110,60104MK  MEDIAS,SOQUETES,MEDIAS,60104MK,mkmedias
0701002120,60105MK  MEDIAS,SOQUETES,MEDIAS,60105MK,mkmedias
0701002130,60106MK  MEDIAS,SOQUETES,MEDIAS,60106MK,mkmedias
0701002140,60107MK  MEDIAS,SOQUETES,MEDIAS,60107MK,mkmedias
0701002150,60108MK  MEDIAS,SOQUETES,MEDIAS,60108MK,mkmedias
0701002160,60109MK  MEDIAS,SOQUETES,MEDIAS,60109MK,mkmedias
0701002170,60110MK  MEDIAS,SOQUETES,MEDIAS,60110MK,mkmedias
0701002180,60111MK  MEDIAS,SOQUETES,MEDIAS,60111MK,mkmedias
0701002190,60112MK  MEDIAS,SOQUETES,MEDIAS,60112MK,mkmedias
0701002200,60113MK  MEDIAS,SOQUETES,MEDIAS,60113MK,mkmedias
0701002210,60114MK  MEDIAS,SOQUETES,MEDIAS,60114MK,mkmedias
0701002220,60115MK MEDIAS,SOQUETES,MEDIAS,60115MK,mkmedias
0701002230,60116MK MEDIAS,SOQUETES,MEDIAS,60116MK,mkmedias
0701002240,60117MK MEDIAS,SOQUETES,MEDIAS,60117MK,mkmedias
0701002250,60118MK MEDIAS,SOQUETES,MEDIAS,60118MK,mkmedias
0701002260,60119MK MEDIAS,SOQUETES,MEDIAS,60119MK,mkmedias
0701002270,60120MK MEDIAS,SOQUETES,MEDIAS,60120MK,mkmedias
0701002280,60500MK MEDIAS MK,SOQUETES,MEDIAS,60500MK,mkmedias
0701002290,60501MK MEDIAS,SOQUETES,MEDIAS,60501MK,mkmedias
0701002300,60502MK MEDIAS,SOQUETES,MEDIAS,60502MK,mkmedias
0701002310,60503MK MEDIAS,SOQUETES,MEDIAS,60503MK,mkmedias
0701002320,60504MK MEDIAS INVISIBLES HOMB,SOQUETES,MEDIAS,60504MK,mkmedias
0701002330,6052MK  MEDIAS,SOQUETES,MEDIAS,6052MK,mkmedias
0701002340,6053MK  MEDIAS,SOQUETES,MEDIAS,6053MK,mkmedias
0701002350,6063MK  MEDIAS,SOQUETES,MEDIAS,6063MK,mkmedias
0701002360,6064MK  MEDIAS,SOQUETES,MEDIAS,6064MK,mkmedias
0701002370,6089MK MEDIAS MK,SOQUETES,MEDIAS,6089MK,mkmedias
0701002380,6090MK MEDIAS MK,SOQUETES,MEDIAS,6090MK,mkmedias
0701002390,6094MK MEDIAS MK,SOQUETES,MEDIAS,6094MK,mkmedias
0701002400,6095MK MEDIAS MK,SOQUETES,MEDIAS,6095MK,mkmedias
0701002410,6097MK MEDIAS MK,SOQUETES,MEDIAS,6097MK,mkmedias
0701002420,6098MK MEDIAS MK,SOQUETES,MEDIAS,6098MK,mkmedias
0701002430,6100MK  MEDIAS MK SOQ EVERY DA,SOQUETES,MEDIAS,6100MK,mkmedias
0701002440,6100MKP PACK X3 MEDIAS MK EVER,SOQUETES,MEDIAS,6100MKP,mkmedias
0701002450,6100MKP2 PACK X2 MEDIAS MK EVE,SOQUETES,MEDIAS,6100MKP2,mkmedias
0701002460,6101MK  MEDIAS MK,SOQUETES,MEDIAS,6101MK,mkmedias
0701002470,6102MK MEDIAS MK,SOQUETES,MEDIAS,6102MK,mkmedias
0701002480,6102MKP MEDIAS MK PACK X3,SOQUETES,MEDIAS,6102MKP,mkmedias
0701002490,6103MK MEDIAS MK,SOQUETES,MEDIAS,6103MK,mkmedias
0701002500,6103MKP MEDIAS MK PACK X 2,SOQUETES,MEDIAS,6103MKP,mkmedias
0701002510,6104MK  MEDIAS MK,SOQUETES,MEDIAS,6104MK,mkmedias
0701002520,6104MKP  MEDIAS MK PACK X2,SOQUETES,MEDIAS,6104MKP,mkmedias
0701002530,6105MK  MEDIAS MK,SOQUETES,MEDIAS,6105MK,mkmedias
0701002540,6106MK  MEDIAS MK,SOQUETES,MEDIAS,6106MK,mkmedias
0701002550,6106MKP  MEDIAS MK PACK X2,SOQUETES,MEDIAS,6106MKP,mkmedias
0701002560,61100MK  MEDIAS,SOQUETES,MEDIAS,61100MK,mkmedias
0701002570,61101MK MEDIAS MK,SOQUETES,MEDIAS,61101MK,mkmedias
0701002580,61102MK MEDIAS MK,SOQUETES,MEDIAS,61102MK,mkmedias
