Codigo,Descripcion,DescAdic,Familia,CodBarra,Marca
0101068890,5189LO CONJ LODY,,LENCERIA,5189LO,LODY
0101068900,5190LO CONJ LODY,,LENCERIA,5190LO,LODY
0101068910,5191LO CONJ LODY,,LENCERIA,5191LO,LODY
0101068920,5194LO CONJ LODY,,LENCERIA,5194LO,LODY
0101068930,5195LO CONJ LODY,,LENCERIA,5195LO,LODY
0101068940,5196LO CONJ LODY,,LENCERIA,5196LO,LODY
0101068950,5197LO CONJ LODY,,LENCERIA,5197LO,LODY
0101068960,5198LO CONJ LODY,,LENCERIA,5198LO,LODY
0101068970,5199LO CONJ LODY,,LENCERIA,5199LO,LODY
0101068980,5200LO CONJ LODY,,LENCERIA,5200LO,LODY
0101068990,5201LO CONJ LODY,,LENCERIA,5201LO,LODY
0101069000,5202LO CONJ LODY,,LENCERIA,5202LO,LODY
0101069010,5203LO CONJ LODY,,LENCERIA,5203LO,LODY
0101069020,5204LO CONJ LODY,,LENCERIA,5204LO,LODY
0101069030,5205LO CONJ LODY,,LENCERIA,5205LO,LODY
0101069040,5206LO CONJUNTOS,,LENCERIA,5206LO,LODY
0101069050,5207LO CONJ LODY,,LENCERIA,5207LO,LODY
0101069060,5208LO CONJ LODY,,LENCERIA,5208LO,LODY
0101069070,5209LO CONJ LODY,,LENCERIA,5209LO,LODY
0101069080,5210LO CONJ LODY,,LENCERIA,5210LO,LODY
0101069090,5211LO CONJ LODY,,LENCERIA,5211LO,LODY
0101069100,5213LO CONJUNTO LODY,,LENCERIA,5213LO,LODY
0101069110,5214LO CONJ LODY,,LENCERIA,5214LO,LODY
0101069120,5215LO CONJ LODY,,LENCERIA,5215LO,LODY
0101069130,5216LO CONJUNTO LODY,,LENCERIA,5216LO,LODY
0101069140,5217LO CONJ LODY,,LENCERIA,5217LO,LODY
0101069150,5218LO CONJ LODY,,LENCERIA,5218LO,LODY
0101069160,5219LO CONJ LODY,,LENCERIA,5219LO,LODY
0101069170,5220LO CONJ LODY,,LENCERIA,5220LO,LODY
0101069180,5221LO CONJ LODY,,LENCERIA,5221LO,LODY
0101069190,5222LO CONJUNTO LODY,,LENCERIA,5222LO,LODY
0101069200,5223LO CONJ LODY,,LENCERIA,5223LO,LODY
0101069210,5225LO CONJ LODY,,LENCERIA,5225LO,LODY
0101069220,5226LO CONJ LODY,,LENCERIA,5226LO,LODY
0101069230,5227LO CONJ LODY,,LENCERIA,5227LO,LODY
0101069240,5228LO CONJ LODY,,LENCERIA,5228LO,LODY
0101069260,5229LO CONJUNTO LODY,,LENCERIA,5229LO,LODY
0101069270,5230LO CONJUNTO LODY,,LENCERIA,5230LO,LODY
0101069280,5234LO CONJUNTO LODY,,LENCERIA,5234LO,LODY
0101069290,5235LO CONJUNTO LODY,,LENCERIA,5235LO,LODY
0101069300,5236LO CONJUNTO LODY,,LENCERIA,5236LO,LODY
0101069310,5238LO CONJUNTO LODY,,LENCERIA,5238LO,LODY
0101069320,5239LO CONJUNTO LODY,,LENCERIA,5239LO,LODY
0101069330,5240LO CONJUNTO LODY,,LENCERIA,5240LO,LODY
0101069340,5241LO CONJUNTO LODY,,LENCERIA,5241LO,LODY
0101069350,5242LO CONJUNTO LODY,,LENCERIA,5242LO,LODY
0101069360,5243LO CONJUNTO LODY,,LENCERIA,5243LO,LODY
0101069370,5245LO CONJUNTO LODY,,LENCERIA,5245LO,LODY
0101069380,5246LO CONJUNTO LODY,,LENCERIA,5246LO,LODY
0101069390,5247LO CONJUNTO LODY,,LENCERIA,5247LO,LODY
0101069400,5248LO CONJUNTO LODY,,LENCERIA,5248LO,LODY
0101069410,5249LO CONJUNTO LODY,,LENCERIA,5249LO,LODY
0101069420,5250LO CONJUNTO LODY,,LENCERIA,5250LO,LODY
0101069430,5251LO CONJUNTO LODY,,LENCERIA,5251LO,LODY
0101069440,5252LO CONJUNTO LODY,,LENCERIA,5252LO,LODY
0101069450,5253LO CONJUNTO LODY,,LENCERIA,5253LO,LODY
0101069460,5254LO CONJUNTO LODY,,LENCERIA,5254LO,LODY
0101069470,5255LO CONJUNTO LODY,,LENCERIA,5255LO,LODY
0101069480,5256LO CONJUNTO LODY,,LENCERIA,5256LO,LODY
0101069490,5257LO CONJUNTO LODY,,LENCERIA,5257LO,LODY
0101069500,5258LO CONJUNTO LODY,,LENCERIA,5258LO,LODY
0101069510,5259LO CONJUNTO LODY,,LENCERIA,5259LO,LODY
0101069520,5260LO CONJUNTO LODY,,LENCERIA,5260LO,LODY
0101069530,5262LO CONJUNTO LODY,,LENCERIA,5262LO,LODY
0101069540,5263LO CONJUNTO LODY,,LENCERIA,5263LO,LODY
0101069550,5264LO CONJUNTO LODY,,LENCERIA,5264LO,LODY
0101069560,538LO CONJ LODY,,LENCERIA,538LO,LODY
