Codigo,Descripcion,Desc_adic,Familia,barcode,marca
0101000570,A1391 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1391,ANDRESSA
0101000580,A5475 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5475,ANDRESSA
0101000590,A5476 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5476,ANDRESSA
0101000600,A5477 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5477,ANDRESSA
0101000610,A5478 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5478,ANDRESSA
0101000620,A5479 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5479,ANDRESSA
0101000630,A5480 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5480,ANDRESSA
0101000640,A5482 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5482,ANDRESSA
0101000650,A5483 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5483,ANDRESSA
0101000660,A5484 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5484,ANDRESSA
0101000670,A5485 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5485,ANDRESSA
0101000680,A5486 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5486,ANDRESSA
0101000690,A5487 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5487,ANDRESSA
0101000700,A5488 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5488,ANDRESSA
0101000710,A5489 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5489,ANDRESSA
0101000720,A5490 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5490,ANDRESSA
0101000730,A5491 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5491,ANDRESSA
0101000740,A5492 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5492,ANDRESSA
0101000750,A5495 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5495,ANDRESSA
0101000760,A5496 PUSH SOFT ANDRESSA,CONJUNTO,LENCERIA,A5496,ANDRESSA
0101000770,A5499 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5499,ANDRESSA
0101000780,A5500 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5500,ANDRESSA
0101000790,A5501 SOFT ANDRESSA,CONJUNTO,LENCERIA,A5501,ANDRESSA
0101000800,A5589 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5589,ANDRESSA
0101000810,A5590 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5590,ANDRESSA
0101000820,A5600 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5600,ANDRESSA
0101000830,A5601 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5601,ANDRESSA
0101000840,A5602 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5602,ANDRESSA
0101000850,A5605 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5605,ANDRESSA
0101000860,A5606 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5606,ANDRESSA
0101000870,A5607 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5607,ANDRESSA
0101000880,A5608 Soft c/base y less de mi,CONJUNTO,LENCERIA,A5608,ANDRESSA
0101000890,A5609 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5609,ANDRESSA
0101000900,A5611 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5611,ANDRESSA
0101000910,A5612 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5612,ANDRESSA
0101000920,A5615 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5615,ANDRESSA
0101000930,A5616 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5616,ANDRESSA
0101000940,A5617 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5617,ANDRESSA
0101000950,A5618 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5618,ANDRESSA
0101000960,A5619 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5619,ANDRESSA
0101000970,A5620 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5620,ANDRESSA
0101000980,A5621 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5621,ANDRESSA
0101000990,A5622 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5622,ANDRESSA
0101001000,A5624 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5624,ANDRESSA
0101001010,A5625 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A5625,ANDRESSA
0101001020,A5626 Triang c/aro y less de p,CONJUNTO,LENCERIA,A5626,ANDRESSA
0101001030,A5627 Triangulo c/base y less,CONJUNTO,LENCERIA,A5627,ANDRESSA
0101001040,A5628 Soft c/base y less de pu,CONJUNTO,LENCERIA,A5628,ANDRESSA
0101001050,A5630 Triang c/base esp reg y,CONJUNTO,LENCERIA,A5630,ANDRESSA
0101001060,A5632 Soutien c/base y less de,CONJUNTO,LENCERIA,A5632,ANDRESSA
0101001070,A5633 Soft esp c/tiras y less,CONJUNTO,LENCERIA,A5633,ANDRESSA
0101001080,A5634 Soutien c/base y realce,CONJUNTO,LENCERIA,A5634,ANDRESSA
0101001090,A5635 Soft y less de puntilla,CONJUNTO,LENCERIA,A5635,ANDRESSA
0101001100,A5636 Triang soft y less de pu,CONJUNTO,LENCERIA,A5636,ANDRESSA
0101001110,A5637 Soft c/base y less c/por,CONJUNTO,LENCERIA,A5637,ANDRESSA
0101001120,A5638 Marilyn c/aro y realce c,CONJUNTO,LENCERIA,A5638,ANDRESSA
0101001130,A5639 Corset soft y less reg d,CONJUNTO,LENCERIA,A5639,ANDRESSA
0101001140,A5640 Triangulo soft esp dep y,CONJUNTO,LENCERIA,A5640,ANDRESSA
0101001150,A5642 Soft especial y less de,CONJUNTO,LENCERIA,A5642,ANDRESSA
0101001160,A5643 Soft c/base y less reg d,CONJUNTO,LENCERIA,A5643,ANDRESSA
0101001170,A5644 Triangulito y less de pu,CONJUNTO,LENCERIA,A5644,ANDRESSA
0101001180,A5645 Triangulito y less de pu,CONJUNTO,LENCERIA,A5645,ANDRESSA
0101001190,A5653 Bretelera de seda y punt,CONJUNTO,LENCERIA,A5653,ANDRESSA
0101001200,A5654 Triangulito y less punti,CONJUNTO,LENCERIA,A5654,ANDRESSA
0101001210,A5655 Soutien soft s/aro y les,CONJUNTO,LENCERIA,A5655,ANDRESSA
0101154040,A5475 T.100 N,CONJUNTO,LENCERIA,77981867613,ANDRESSA
0105026330,A551  BOMBACHA,BOMBACHA,LENCERIA,A551,ANDRESSA
0105026340,A551C  BOMBACHA,BOMBACHA,LENCERIA,A551C,ANDRESSA
0105026350,A552C  BOMBACHA,BOMBACHA,LENCERIA,A552C,ANDRESSA
0105026360,A56.2 BOMBACHA,BOMBACHA,LENCERIA,A56.2,ANDRESSA
0105026370,A56.3 BOMBACHA,BOMBACHA,LENCERIA,A56.3,ANDRESSA
0105026380,A56.4 BOMBACHA,BOMBACHA,LENCERIA,A56.4,ANDRESSA
0108000010,A5493 PORTALIGAS ANDRESSA,CONJUNTO,LENCERIA,A5493,ANDRESSA
0109000010,A5648 Body tricot brillante y,BODY,LENCERIA,A5648,ANDRESSA
0109000020,"A5649 Body de puntilla, tul y",BODY,LENCERIA,A5649,ANDRESSA
0109000030,A5650 Body de tul y puntilla,BODY,LENCERIA,A5650,ANDRESSA
0109000040,A5651 Body manga larga de enca,BODY,LENCERIA,A5651,ANDRESSA
0109000050,A5652 Body terciopelo,BODY,LENCERIA,A5652,ANDRESSA
0111000010,A0104 CAMISOLIN ANDRESSA,CAMISOLIN,LENCERIA,A0104,ANDRESSA
0111000020,A5646 Camisolin de raso y punt,CAMISOLIN,LENCERIA,A5646,ANDRESSA
0111000030,A5647 Camisolin de microfibra,CAMISOLIN,LENCERIA,A5647,ANDRESSA
0112000010,A001 COLALESS ANDRESSA,BOM BIKINI,LENCERIA,A001,ANDRESSA
0112000020,A0015 Pack x 3 culotless alg/l,PACK,LENCERIA,A0015,ANDRESSA
0112000030,A0016 Pack x 3 less reg de tul,PACK,LENCERIA,A0016,ANDRESSA
0112000040,A002 COULOTTE ANDRESSA,PACK,LENCERIA,A002,ANDRESSA
0112000050,A0027 COLALESS ANDRESSA,PACK,LENCERIA,A0027,ANDRESSA
0112000060,A0028 COLALESS ANDRESSA,PACK,LENCERIA,A0028,ANDRESSA
0112000070,A003 COLALESS ANDRESSA,PACK,LENCERIA,A003,ANDRESSA
0112000080,A0033 COLALESS ANDRESSA,PACK,LENCERIA,A0033,ANDRESSA
0112000090,A0034 VEDETINA ANDRESSA,PACK,LENCERIA,A0034,ANDRESSA
0112000100,A0035 COULOTTE LESS ANDRESSA,PACK,LENCERIA,A0035,ANDRESSA
0112000110,A0036 Pack Love x 2 less de pu,PACK,LENCERIA,A0036,ANDRESSA
0112000120,A0038 COULOTTE LESS ANDRESSA,PACK,LENCERIA,A0038,ANDRESSA
0112000130,A004 COLALESS ANDRESSA,PACK,LENCERIA,A004,ANDRESSA
0112000140,A005 COLALESS ANDRESSA,PACK,LENCERIA,A005,ANDRESSA
0112000150,A006 COLALESS ANDRESSA,PACK,LENCERIA,A006,ANDRESSA
0112000160,A007 COLALESS ANDRESSA,PACK,LENCERIA,A007,ANDRESSA
0112000170,A008 COLALESS ANDRESSA,PACK,LENCERIA,A008,ANDRESSA
0112000180,A009 COLALESS ANDRESSA,PACK,LENCERIA,A009,ANDRESSA
0112000190,A010 COLALESS ANDRESSA,PACK,LENCERIA,A010,ANDRESSA
0112000200,A011 COLALESS ANDRESSA,PACK,LENCERIA,A011,ANDRESSA
0112000210,A012 COULOTTE LESS ANDRESSA,CONJUNTO,LENCERIA,A012,ANDRESSA
0112000220,A013 COLALESS ANDRESSA,PACK,LENCERIA,A013,ANDRESSA
0112000230,A014 COLALESS ANDRESSA,PACK,LENCERIA,A014,ANDRESSA
0112000240,A0300 COLALESS ANDRESSA,PACK,LENCERIA,A0300,ANDRESSA
0112000250,A0301 VEDETINA ANDRESSA,PACK,LENCERIA,A0301,ANDRESSA
0112000260,A0302 COULOTTE ANDRESSA,PACK,LENCERIA,A0302,ANDRESSA
0112000270,A0303 COULOTTE ANDRESSA,PACK,LENCERIA,A0303,ANDRESSA
0112000280,A0304 Pack x 3 less especiales,PACK,LENCERIA,A0304,ANDRESSA
0112000290,A0305 Pack x 3 less especiales,PACK,LENCERIA,A0305,ANDRESSA
0112000300,A0306 Pack x 3 less especiales,PACK,LENCERIA,A0306,ANDRESSA
0112000310,A0307 Pack x 3 less especiales,PACK,LENCERIA,A0307,ANDRESSA
0112000320,A038 COLALESS ANDRESSA,PACK,LENCERIA,A038,ANDRESSA
0112000330,A039 COLALESS ANDRESSA,PACK,LENCERIA,A039,ANDRESSA
0112000340,A1392  COLALESS ANDRESSA,CONJUNTO,LENCERIA,A1392,ANDRESSA
0302000030,A1220 Top espalda c/tiras y le,TOP,INDUMENTARIA,A1220,ANDRESSA
0302000040,A1222 Top y less de microfibra,CONJUNTO,INDUMENTARIA,A1222,ANDRESSA
0302000050,A5631 Top bustier y culot de e,TOP,INDUMENTARIA,A5631,ANDRESSA
0302000060,A5641 Top hight neck y less de,TOP,INDUMENTARIA,A5641,ANDRESSA
0502000010,A100 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,100A,ANDRESSA
0502000020,A101 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,101A,ANDRESSA
0502000030,A102 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,102A,ANDRESSA
0502000040,A102A1 CORPIÑO,CORPIÑO,TRAJES DE BAÑO,102A1,ANDRESSA
0502000050,A102A2 BOMBACHA,BOMBACHA,TRAJES DE BAÑO,102A2,ANDRESSA
0502000060,A103 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,103A,ANDRESSA
0502000070,A104 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,104A,ANDRESSA
0502000080,A105 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,105A,ANDRESSA
0502000090,A106 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,106A,ANDRESSA
0502000100,A108 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,108A,ANDRESSA
0502000110,A109 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,109A,ANDRESSA
0502000120,A113 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,113A,ANDRESSA
0502000130,A114 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,114A,ANDRESSA
0502000140,A115 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,115A,ANDRESSA
0502000150,A120 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,120A,ANDRESSA
0502000160,A120A1 CORPIÑO,CORP BIKINI,TRAJES DE BAÑO,120A1,ANDRESSA
0502000170,A120A2 BOMBACHA,BOM BIKINI,TRAJES DE BAÑO,120A2,ANDRESSA
0502000180,A121 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,121A,ANDRESSA
