virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,,
,TIENTO-Art:120T,0101136670,,TIENTO-Art 120T-0101136670,T1,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:120T<br />T1 - BLANCO
,TIENTO-Art:120T,0101136680,0101136670,TIENTO-Art 120T-0101136680,T1,NGRO-ALMENDRA,,,1.0,Y,,
,TIENTO-Art:120T,0101136690,0101136670,TIENTO-Art 120T-0101136690,T1,NGRO-FUCSIA,,,1.0,Y,,
,TIENTO-Art:120T,0101136700,0101136670,TIENTO-Art 120T-0101136700,T2,BLANCO,,,1.0,Y,,
,TIENTO-Art:120T,0101136710,0101136670,TIENTO-Art 120T-0101136710,T2,NGRO-ALMENDRA,,,1.0,Y,,
,TIENTO-Art:120T,0101136720,0101136670,TIENTO-Art 120T-0101136720,T2,NGRO-FUCSIA,,,1.0,Y,,
,TIENTO-Art:120T,0101136730,0101136670,TIENTO-Art 120T-0101136730,T3,BLANCO,,,1.0,Y,,
,TIENTO-Art:120T,0101136740,0101136670,TIENTO-Art 120T-0101136740,T3,NGRO-ALMENDRA,,,1.0,Y,,
,TIENTO-Art:120T,0101136750,0101136670,TIENTO-Art 120T-0101136750,T3,NGRO-FUCSIA,,,1.0,Y,,
,TIENTO-Art:120T,0101136760,0101136670,TIENTO-Art 120T-0101136760,T4,BLANCO,,,1.0,Y,,
,TIENTO-Art:120T,0101136770,0101136670,TIENTO-Art 120T-0101136770,T4,NGRO-ALMENDRA,,,1.0,Y,,
,TIENTO-Art:120T,0101136780,0101136670,TIENTO-Art 120T-0101136780,T4,NGRO-FUCSIA,,,1.0,Y,,
,TIENTO-Art:120T,0101136790,0101136670,TIENTO-Art 120T-0101136790,T5,BLANCO,,,1.0,Y,,
,TIENTO-Art:120T,0101148580,0101136670,TIENTO-Art 120T-0101148580,TIENTO,CONJ.,,,1.0,N,,
,TIENTO-Art:120T,0101136800,0101136670,TIENTO-Art 120T-0101136800,T5,NGRO-ALMENDRA,,,1.0,Y,,
,TIENTO-Art:120T,0101136810,0101136670,TIENTO-Art 120T-0101136810,T5,NGRO-FUCSIA,,,1.0,Y,,
,TIENTO-Art:122T,0101148590,,TIENTO-Art 122T-0101148590,TIENTO,CONJ.,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,N,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:122T<br />TIENTO - CONJ.
,TIENTO-Art:126T,0101148600,,TIENTO-Art 126T-0101148600,TIENTO,CONJ.,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,N,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:126T<br />TIENTO - CONJ.
,TIENTO-Art:128T,0101148610,,TIENTO-Art 128T-0101148610,TIENTO,CONJ.,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,N,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:128T<br />TIENTO - CONJ.
,TIENTO-Art:150T,0101148620,,TIENTO-Art 150T-0101148620,CONJ,TIENTO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,N,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:150T<br />CONJ - TIENTO
,TIENTO-Art:178T,0101148630,,TIENTO-Art 178T-0101148630,TIENTO,CONJ.,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,N,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:178T<br />TIENTO - CONJ.
