codigo,Descripcion,Desc_adicional,Familia,agrupacion,Cod_barras
0201029750,1096XY T4,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10964002
0201029760,1096XY T6,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10966006
0201029770,1096XY T8,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10968000
0201029780,1300XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13001001
0201029790,1300XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13002008
0201029800,1300XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13003005
0201029810,1300XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13004002
0201029820,1300XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13005009
0201029830,1302XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13021009
0201029840,1302XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13022006
0201029850,1302XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13023003
0201029860,1302XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13024000
0201029870,1302XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13025007
0201029880,1303XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13031008
0201029890,1303XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13032005
0201029900,1303XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13033002
0201029910,1303XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13034009
0201029920,1303XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13035006
0201029930,1304XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13041007
0201029940,1304XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13042004
0201029950,1304XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13043001
0201029960,1304XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13044008
0201029970,1304XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13045005
0201029980,1306XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13061005
0201029990,1306XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13062002
0201030000,1306XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13063009
0201030010,1306XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13064006
0201030020,1306XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13065003
0201030030,1306XY TXXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13066000
0201030040,1308XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13081003
0201030050,1308XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13082000
0201030060,1308XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13083007
0201030070,1308XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13084004
0201030080,1308XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13085001
0201030090,1310XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13101008
0201030100,1310XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13102005
0201030110,1310XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13103002
0201030120,1310XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13104009
0201030130,1310XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13105006
0201030140,1311XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13112004
0201030150,1311XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13113001
0201030160,1311XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13114008
0201030170,1311XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13115005
0201030180,1312XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13121006
0201030190,1312XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13122003
0201030200,1312XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13123000
0201030210,1312XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13124007
0201030220,1312XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13125004
0201030230,1313XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13131005
0201030240,1313XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13132002
0201030250,1313XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13133009
0201030260,1313XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13134006
0201030270,1313XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13135003
0201030280,1314XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13141004
0201030290,1314XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13142001
0201030300,1314XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13143008
0201030310,1314XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13144005
0201030320,1314XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13145002
0201030330,1315XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13151003
0201030340,1315XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13152000
0201030350,1315XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13153007
0201030360,1315XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13154004
0201030370,1315XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13155001
0201030380,1316XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13161002
0201030390,1316XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13162009
