Codart,Descripcion,Descadicional,Familia,Codbarras,Descagrupacion,marca
0401000450,SA  ARCOIRIS 180 C/BORDE JDC M,A1B18JDCR1MARLO,BLANQUERIA,7794170011807,SABANA,arcoiris
0401000460,SA  ARCOIRIS 180 C/BORDE JDC O,A1B18JDCR1OLIVIA,BLANQUERIA,7794170011814,SABANA,arcoiris
0401000470,SA  ARCOIRIS 180 C/BORDE JDC S,A1B18JDCR1SELBY,BLANQUERIA,7794170011821,SABANA,arcoiris
0401000480,SA  ARCOIRIS 180 C/BORDE JDK A,A1B18JDKR1ASTOR,BLANQUERIA,7794170011838,SABANA,arcoiris
0401000490,SA  ARCOIRIS 180 C/BORDE JDK F,A1B18JDKR1FREY,BLANQUERIA,7794170011845,SABANA,arcoiris
0401000500,SA  ARCOIRIS 180 C/BORDE JDK H,A1B18JDKR1HANNA,BLANQUERIA,7794170011852,SABANA,arcoiris
0401000510,SA  ARCOIRIS 180 C/BORDE JDK K,A1B18JDKR1KERRY,BLANQUERIA,7794170011869,SABANA,arcoiris
0401000520,SA  ARCOIRIS 180 C/BORDE JDK L,A1B18JDKR1LIAM,BLANQUERIA,7794170011876,SABANA,arcoiris
0401000530,SA  ARCOIRIS 180 C/BORDE JDK M,A1B18JDKR1MARLO,BLANQUERIA,7794170011883,SABANA,arcoiris
0401000540,SA  ARCOIRIS 180 C/BORDE JDK O,A1B18JDKR1OLIVIA,BLANQUERIA,7794170011890,SABANA,arcoiris
0401000550,SA  ARCOIRIS 180 C/BORDE JDK S,A1B18JDKR1SELBY,BLANQUERIA,7794170011906,SABANA,arcoiris
0401000560,SA  ARCOIRIS 180 C/BORDE JDQ A,A1B18JDQR1ASTOR,BLANQUERIA,7794170011913,SABANA,arcoiris
0401000570,SA  ARCOIRIS 180 C/BORDE JDQ F,A1B18JDQR1FREY,BLANQUERIA,7794170011920,SABANA,arcoiris
0401000580,SA  ARCOIRIS 180 C/BORDE JDQ H,A1B18JDQR1HANNA,BLANQUERIA,7794170011937,SABANA,arcoiris
0401000590,SA  ARCOIRIS 180 C/BORDE JDQ K,A1B18JDQR1KERRY,BLANQUERIA,7794170011944,SABANA,arcoiris
0401000600,SA  ARCOIRIS 180 C/BORDE JDQ L,A1B18JDQR1LIAM,BLANQUERIA,7794170011951,SABANA,arcoiris
0401000610,SA  ARCOIRIS 180 C/BORDE JDQ M,A1B18JDQR1MARLO,BLANQUERIA,7794170011968,SABANA,arcoiris
0401000620,SA  ARCOIRIS 180 C/BORDE JDQ O,A1B18JDQR1OLIVIA,BLANQUERIA,7794170011975,SABANA,arcoiris
0401000630,SA  ARCOIRIS 180 C/BORDE JDQ S,A1B18JDQR1SELBY,BLANQUERIA,7794170011982,SABANA,arcoiris
