Codigo,Descripcion,Desca_adicional,Familia,Codigo_barras,marca
0310004200,L233 T03 Rosa Vintage,Buzos/Camperas,INDUMENTARIA,790023300390,LIMITLESS
0310004210,L234 T01 Gris Claro,Buzos/Camperas,INDUMENTARIA,790023400173,LIMITLESS
0310004220,L234 T02 Gris Claro,Buzos/Camperas,INDUMENTARIA,790023400273,LIMITLESS
0310004230,L234 T03 Gris Claro,Buzos/Camperas,INDUMENTARIA,790023400373,LIMITLESS
0310004240,L234 T01 Negro,Buzos/Camperas,INDUMENTARIA,790023400102,LIMITLESS
0310004250,L234 T02 Negro,Buzos/Camperas,INDUMENTARIA,790023400202,LIMITLESS
0310004260,L234 T03 Negro,Buzos/Camperas,INDUMENTARIA,790023400302,LIMITLESS
0310004270,L234 T01 Rosa Vintage,Buzos/Camperas,INDUMENTARIA,790023400190,LIMITLESS
0310004280,L234 T02 Rosa Vintage,Buzos/Camperas,INDUMENTARIA,790023400290,LIMITLESS
0310004290,L234 T03 Rosa Vintage,Buzos/Camperas,INDUMENTARIA,790023400390,LIMITLESS
0320000010,L210K T1 Negro Buzos/Camperas,,INDUMENTARIA,790021000102,LIMITLESS
0320000020,L210K T2 Negro Buzos/Camperas,,INDUMENTARIA,790021000202,LIMITLESS
0320000030,L210K T3 Negro Buzos/Camperas,,INDUMENTARIA,790021000302,LIMITLESS
0320000040,L220K T1 Negro Buzos/Camperas,,INDUMENTARIA,790022000102,LIMITLESS
0320000050,L220K T2 Negro Buzos/Camperas,,INDUMENTARIA,790022000202,LIMITLESS
0320000060,L220K T3 Negro Buzos/Camperas,,INDUMENTARIA,790022000302,LIMITLESS
0320000070,L230K T1 Negro Buzos/Camperas,,INDUMENTARIA,790023000102,LIMITLESS
0320000080,L230K T2 Negro Buzos/Camperas,,INDUMENTARIA,790023000202,LIMITLESS
0320000090,L230K T3 Negro Buzos/Camperas,,INDUMENTARIA,790023000302,LIMITLESS
0702003380,L251 Media microf,Medias,MEDIAS,791225100000,LIMITLESS
0702003390,L253 TU Blanco,Medias,MEDIAS,790025300001,LIMITLESS
0702003400,L253 TU Gris Melange,Medias,MEDIAS,790025300008,LIMITLESS
0702003410,L253 TU Negro,Medias,MEDIAS,790025300002,LIMITLESS
0702003420,L254 TU Blanco,Medias,MEDIAS,790025400001,LIMITLESS
0702003430,L254 TU Negro,Medias,MEDIAS,790025400002,LIMITLESS
