CodArt,Descripcion,Desc_adicional,Familia,CodigoBarras,agrupacion,marca
0401005060,SA PRATA AJUSTABLE LEC LILA 52,PRA15LECR5231,BLANQUERIA,7794170014396,SABANA,santista
0401005070,SA PRATA AJUSTABLE LEC MARINO,PRA15LECR6202,BLANQUERIA,7794170014402,SABANA,santista
0401005080,SA PRATA AJUSTABLE LEC PETROLE,PRA15LECR6324,BLANQUERIA,7794170014419,SABANA,santista
0401005090,SA PRATA AJUSTABLE LEC CELESTE,PRA15LECR6547,BLANQUERIA,7794170014426,SABANA,santista
0401005100,SA PRATA AJUSTABLE LEC AZUL FR,PRA15LECR6559,BLANQUERIA,7794170014433,SABANA,santista
0401005110,SAN PRATA AJUSTABLE LES ROJO 3,PRA15LESR3416,BLANQUERIA,7794170014440,SABANA,santista
0401005120,SAN PRATA AJUSTABLE LES FUCSIA,PRA15LESR3451,BLANQUERIA,7794170014457,SABANA,santista
0401005130,SAN PRATA AJUSTABLE LES ROSA 3,PRA15LESR3472,BLANQUERIA,7794170014464,SABANA,santista
0401005140,SAN PRATA AJUSTABLE LES VIOLET,PRA15LESR3484,BLANQUERIA,7794170014471,SABANA,santista
0401005150,SAN PRATA AJUSTABLE LES LILA 5,PRA15LESR5231,BLANQUERIA,7794170014488,SABANA,santista
0401005160,SAN PRATA AJUSTABLE LES MARINO,PRA15LESR6202,BLANQUERIA,7794170014495,SABANA,santista
0401005170,SAN PRATA AJUSTABLE LES PETROL,PRA15LESR6324,BLANQUERIA,7794170014501,SABANA,santista
0401005180,SAN PRATA AJUSTABLE LES CELEST,PRA15LESR6547,BLANQUERIA,7794170014518,SABANA,santista
0401005190,SAN PRATA AJUSTABLE LES AZUL F,PRA15LESR6559,BLANQUERIA,7794170014525,SABANA,santista
0401005200,SABANA KAMACOLOR JDC BLANCO,KAMIXJDCRBLANCA,BLANQUERIA,7794170014679,SABANA,santista
0401005210,SABANA KAMACOLOR JDQ BLANCO,KAMIXJDQRBLANCA,BLANQUERIA,7794170014686,SABANA,santista
0401005220,SA KAMACOLOR JDS BLANCO,KAMIXJDSRBLANCA,BLANQUERIA,7794170014693,SABANA,santista
0401005230,SABANA KAMACOLOR 2 1/2PL JACOB,KAMIXJDCR1JACOB,BLANQUERIA,7794170014822,SABANA,santista
0401005240,SABANA KAMACOLOR 2 1/2PL LEO 1,KAMIXJDCR1LEO,BLANQUERIA,7794170014839,SABANA,santista
0401005250,SABANA KAMACOLOR 2 1/2PL ALAN,KAMIXJDCR2ALAN,BLANQUERIA,7794170014846,SABANA,santista
0401005260,SABANA KAMACOLOR 2 1/2PL ROBY,KAMIXJDCR2ROBY,BLANQUERIA,7794170014853,SABANA,santista
0401005270,SABANA KAMACOLOR 2 1/2PL ROSE,KAMIXJDCR2ROSE,BLANQUERIA,7794170014860,SABANA,santista
0401005280,SABANA KAMACOLOR 2 1/2PL PENNY,KAMIXJDCR3PENNY,BLANQUERIA,7794170014877,SABANA,santista
0401005290,SABANA KAMACOLOR QUEEN JACOB 1,KAMIXJDQR1JACOB,BLANQUERIA,7794170014884,SABANA,santista
0401005300,SABANA KAMACOLOR QUEEN LEO 1,KAMIXJDQR1LEO,BLANQUERIA,7794170014891,SABANA,santista
0401005310,SABANA KAMACOLOR QUEEN ALAN 2,KAMIXJDQR2ALAN,BLANQUERIA,7794170014907,SABANA,santista
0401005320,SABANA KAMACOLOR QUEEN ROBY 2,KAMIXJDQR2ROBY,BLANQUERIA,7794170014914,SABANA,santista
0401005330,SABANA KAMACOLOR QUEEN ROSE 2,KAMIXJDQR2ROSE,BLANQUERIA,7794170014921,SABANA,santista
0401005340,SA SANTISTA KCOLOR 1 1/2,KAMIXJDSR1JACOB,BLANQUERIA,7794170014945,SABANA,santista
0401005350,SA SANTISTA KCOLOR 1 1/2,KAMIXJDSR1LEO,BLANQUERIA,7794170014952,SABANA,santista
0401005360,SA SANTISTA KCOLOR 1 1/2,KAMIXJDSR2ALAN,BLANQUERIA,7794170014969,SABANA,santista
0401005370,SABANA KAMACOLOR 1 1/2PL ROBY,KAMIXJDSR2ROBY,BLANQUERIA,7794170014976,SABANA,santista
0401005380,SA SANTISTA KCOLOR 1 1/2,KAMIXJDSR2ROSE,BLANQUERIA,7794170014983,SABANA,santista
0401005390,SA SANTISTA KCOLOR 1 1/2,KAMIXJDSR3PENNY,BLANQUERIA,7794170014990,SABANA,santista
0401005500,SA UNIQUE 2 1/2PL LYRA,SA180JDCRLYRA,BLANQUERIA,7794170015300,SABANA,santista
0401005510,SABANAS 2 1/2 SANTISTA,SA180JDC2PUKET,BLANQUERIA,7794170015317,SABANA,santista
0401005520,SABANAS 2 1/2 UNIQUE WOOD,SA180JDCR2WOOD,BLANQUERIA,7794170015324,SABANA,santista
0401005530,SA SANTISTA PER 1 1/2,SA180JDSR2LYRA,BLANQUERIA,7794170015393,SABANA,santista
