Codart,Descripcion,Descadic,Familia,CodBarra,agrupacion,marca
0402008260,TOALLA PALETTE BORIS J2 ZANAHO,PAL42TJ2RBOR2097,BLANQUERIA,7794170016406,TOALLA,palette
0402008270,TOALLA PALETTE BORIS J2 FRAMBU,PAL42TJ2RBOR3116,BLANQUERIA,7794170016413,TOALLA,palette
0402008280,TOALLA PALETTE BORIS J2 TURQUE,PAL42TJ2RBOR6117,BLANQUERIA,7794170016420,TOALLA,palette
0402008290,TOALLA PALETTE BORIS J2 AZUL 6,PAL42TJ2RBOR6265,BLANQUERIA,7794170016437,TOALLA,palette
0402008300,TOALLA PALETTE BORIS J2 VERDE,PAL42TJ2RBOR7264,BLANQUERIA,7794170016444,TOALLA,palette
0402008310,TOALLA PALETTE BORIS J2 MOSTAZ,PAL42TJ2RBOR8335,BLANQUERIA,7794170016451,TOALLA,palette
0402008320,TOALLA PALETTE BORIS J2 NEGRO,PAL42TJ2RBOR9900,BLANQUERIA,7794170016468,TOALLA,palette
0402008330,TOALLA PALETTE GRID BA BLANCO,PAL42TBARGRI0001,BLANQUERIA,7794170016932,TOALLA,palette
0402008340,TOALLA PALETTE GRID BA NARANJA,PAL42TBARGRI2055,BLANQUERIA,7794170016949,TOALLA,palette
0402008350,TOALLA PALETTE GRID BA SANDIA,PAL42TBARGRI3067,BLANQUERIA,7794170016956,TOALLA,palette
0402008360,TOALLA PALETTE GRID BA BORDO 5,PAL42TBARGRI5084,BLANQUERIA,7794170016963,TOALLA,palette
0402008370,TOALLA PALETTE GRID BA AZUL 62,PAL42TBARGRI6265,BLANQUERIA,7794170016970,TOALLA,palette
0402008380,TOALLA PALETTE GRID BA PETROLE,PAL42TBARGRI6331,BLANQUERIA,7794170016987,TOALLA,palette
0402008390,TOALLA PALETTE GRID BA LIMA CL,PAL42TBARGRI7774,BLANQUERIA,7794170016994,TOALLA,palette
0402008400,TOALLA PALETTE GRID RO BLANCO,PAL42TRORGRI0001,BLANQUERIA,7794170017007,TOALLA,palette
0402008410,TOALLA PALETTE GRID RO NARANJA,PAL42TRORGRI2055,BLANQUERIA,7794170017014,TOALLA,palette
0402008420,TOALLA PALETTE GRID RO SANDIA,PAL42TRORGRI3067,BLANQUERIA,7794170017021,TOALLA,palette
0402008430,TOALLA PALETTE GRID RO BORDO 5,PAL42TRORGRI5084,BLANQUERIA,7794170017038,TOALLA,palette
0402008440,TOALLA PALETTE GRID RO AZUL 62,PAL42TRORGRI6265,BLANQUERIA,7794170017045,TOALLA,palette
0402008450,TOALLA PALETTE GRID RO PETROLE,PAL42TRORGRI6331,BLANQUERIA,7794170017052,TOALLA,palette
0402008460,TOALLA PALETTE GRID RO LIMA CL,PAL42TRORGRI7774,BLANQUERIA,7794170017069,TOALLA,palette
0402008470,JUEGO PALETTE IVO MADISON BLAN,PAL55TJ2RMAD0001,BLANQUERIA,7794170020571,TOALLA,palette
0402008480,JUEGO PALETTE IVO MADISON MAIZ,PAL55TJ2RMAD1075,BLANQUERIA,7794170020663,TOALLA,palette
0402008490,JUEGO PALETTE IVO MADISON BORD,PAL55TJ2RMAD3060,BLANQUERIA,7794170020670,TOALLA,palette
0402008500,JUEGO PALETTE IVO MADISON BEIG,PAL55TJ2RMAD8292,BLANQUERIA,7794170020687,TOALLA,palette
0402008510,JUEGO PALETTE IVO MADISON VERD,PAL55TJ2RMAD7248,BLANQUERIA,7794170020694,TOALLA,palette
0402008520,JUEGO PALETTE IVO MADISON JEAN,PAL55TJ2RMAD6272,BLANQUERIA,7794170020700,TOALLA,palette
0402008530,TO NARANJA URBAN PALETTE 70X13,PAL42TBARDOV2102,BLANQUERIA,7794170022179,TOALLA,palette
0402008540,TO SALMON URBAN PALETTE 70X135,PAL42TBARDOV3020,BLANQUERIA,7794170022186,TOALLA,palette
0402008550,TO FUXIA URBAN PALETTE 70X135,PAL42TBARDOV3371,BLANQUERIA,7794170022193,TOALLA,palette
0402008560,TO CELESTE URBAN PALETTE 70X13,PAL42TBARDOV6266,BLANQUERIA,7794170022209,TOALLA,palette
0402008570,TO NARANJA URBAN PALETTE V50X8,PAL42TRORDOV2102,BLANQUERIA,7794170022216,TOALLA,palette
0402008580,TO SALMON URBAN PALETTE 50X80,PAL42TRORDOV3020,BLANQUERIA,7794170022223,TOALLA,palette
0402008590,TO FUXIA URBAN PALETTE 50X80,PAL42TRORDOV3371,BLANQUERIA,7794170022230,TOALLA,palette
0402008600,TO CELESTE URBAN PALETTE  50X8,PAL42TRORDOV6266,BLANQUERIA,7794170022247,TOALLA,palette
0402008610,TOA BERMELLON PALETTE,PAL50TBARBOS3010,BLANQUERIA,7794170022360,TOALLA,palette
0402008620,TOA CELESTE PALETTE,PAL50TBARBOS6160,BLANQUERIA,7794170022377,TOALLA,palette
0402008630,TOA PETROLEO PALETTE,PAL50TBARBOS6256,BLANQUERIA,7794170022384,TOALLA,palette
0402008640,TOA CREMA PALETTE,PAL50TBARBOS8254,BLANQUERIA,7794170022391,TOALLA,palette
0402008650,TO BERMELLON PALETTE,PAL50TRORBOS3010,BLANQUERIA,7794170022414,TOALLA,palette
0402008660,TOALLA PALETTE ACCENT 500 G,PAL50TRORBOS6160,BLANQUERIA,7794170022421,TOALLA,palette
0402008670,TO PETROLEO PALETTE,PAL50TRORBOS6256,BLANQUERIA,7794170022438,TOALLA,palette
0402008680,TO CREMA PALETTE,PAL50TRORBOS8254,BLANQUERIA,7794170022445,TOALLA,palette
0402008690,REPASADOR PALETTE,PALRETPCR2TESSA,BLANQUERIA,7794170022483,TOALLA,palette
0402008700,SET PALETTE TOA TO BEIGE,PAL42TJ2,BLANQUERIA,7794170022490,TOALLA,palette
0402008710,SET PALETTE TOA TO VERDE,PAL42TJ2RBOR7032,BLANQUERIA,7794170022506,TOALLA,palette
0402008720,SET PALETTE TOA TO FUCSIA,PAL42TJ2RBOR3440,BLANQUERIA,7794170022513,TOALLA,palette
0402008730,SET PALETTE TOA TO AZUL,PAL42TJ2RBOR6756,BLANQUERIA,7794170022520,TOALLA,palette
0402008740,SET PALETTE TOA TO VIOLETA,PAL42TJ2RBOR5113,BLANQUERIA,7794170022537,TOALLA,palette
0402008750,TOALHA ETERNITY FIO EGIPCIO TB,PAL55TBABMAD0001,BLANQUERIA,7892949411114,TOALLA,palette
0402008760,TOALHA ETERNITY FIO EGIPCIO TB,PAL55TBABMAD1075,BLANQUERIA,7892949411121,TOALLA,palette
0402008770,TOALHA ETERNITY FIO EGIPCIO TB,PAL55TBABMAD3060,BLANQUERIA,7892949411138,TOALLA,palette
0402008780,TOALHA ETERNITY FIO EGIPCIO TB,PAL55TBABMAD6272,BLANQUERIA,7892949411145,TOALLA,palette
0402008790,TOALHA ETERNITY FIO EGIPCIO TB,PAL55TBABMAD7248,BLANQUERIA,7892949411152,TOALLA,palette
0402008800,TOALHA ETERNITY FIO EGIPCIO TB,PAL55TBABMAD8292,BLANQUERIA,7892949411169,TOALLA,palette
0402008810,TOALHA ETERNITY FIO EGIPCIO TR,PAL55TROBMAD0001,BLANQUERIA,7892949411176,TOALLA,palette
0402008820,TOALHA ETERNITY FIO EGIPCIO TR,PAL55TROBMAD1075,BLANQUERIA,7892949411183,TOALLA,palette
0402008830,TOALHA ETERNITY FIO EGIPCIO TR,PAL55TROBMAD3060,BLANQUERIA,7892949411190,TOALLA,palette
0402008840,TOALHA ETERNITY FIO EGIPCIO TR,PAL55TROBMAD6272,BLANQUERIA,7892949411206,TOALLA,palette
0402008850,TOALHA ETERNITY FIO EGIPCIO TR,PAL55TROBMAD7248,BLANQUERIA,7892949411213,TOALLA,palette
0402008860,TOALHA ETERNITY FIO EGIPCIO TR,PAL55TROBMAD8292,BLANQUERIA,7892949411237,TOALLA,palette
0402008870,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJELI0001,BLANQUERIA,7892949411374,TOALLA,palette
0402008880,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJELI5084,BLANQUERIA,7892949411381,TOALLA,palette
0402008890,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJELI6002,BLANQUERIA,7892949411398,TOALLA,palette
0402008900,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJELI7292,BLANQUERIA,7892949411404,TOALLA,palette
0402008910,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJELI9143,BLANQUERIA,7892949411411,TOALLA,palette
0402008920,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJHEL0001,BLANQUERIA,7892949411428,TOALLA,palette
0402008930,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJHEL3434,BLANQUERIA,7892949411435,TOALLA,palette
0402008940,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJHEL5148,BLANQUERIA,7892949411442,TOALLA,palette
0402008950,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJHEL6090,BLANQUERIA,7892949411459,TOALLA,palette
0402008960,TOALLA PALETTE FIO PENTEADO 50,PAL50JBAJHEL6238,BLANQUERIA,7892949411466,TOALLA,palette
0402008970,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJELI0001,BLANQUERIA,7892949411473,TOALLA,palette
0402008980,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJELI5084,BLANQUERIA,7892949411480,TOALLA,palette
0402008990,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJELI6002,BLANQUERIA,7892949411497,TOALLA,palette
0402009000,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJELI7292,BLANQUERIA,7892949411503,TOALLA,palette
0402009010,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJELI9143,BLANQUERIA,7892949411510,TOALLA,palette
0402009020,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJHEL0001,BLANQUERIA,7892949411527,TOALLA,palette
0402009030,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJHEL3434,BLANQUERIA,7892949411534,TOALLA,palette
0402009040,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJHEL5148,BLANQUERIA,7892949411541,TOALLA,palette
0402009050,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJHEL6090,BLANQUERIA,7892949411558,TOALLA,palette
