virtuemart_product_id	product_name	product_sku	product_parent_sku	slug	VM_MULTIVARIANT_FIELD_LABEL1	product_price	published	category_path	product_desc
4228	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JDC	SabanasAMI18JDX	sabanas-arcoiris-180-hilos-mixto--sabanasami18jdc	Tamaño 2 ½ - 140x195	1471.90	1	Blanquería/Arco Iris	"Sábanas 180 Hilos de composición mixta, muy fáciles de lavar y planchar, románticas o geométricas, con colores sobrios o más audaces, las estampas se destacan por su personalidad sobre las ajustables lisas.<br />
TAMAÑO: TWIN SIZE / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SIENA / TRINI / BRAD / MAX / GASPAR / JIM"
4230	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JDK	SabanasAMI18JDX	sabanas-arcoiris-180-hilos-mixto--sabanasami18jdk	Tamaño King - 200x200	1986.50	1	Blanquería/Arco Iris	"Sábanas 180 Hilos de composición mixta, muy fáciles de lavar y planchar, románticas o geométricas, con colores sobrios o más audaces, las estampas se destacan por su personalidad sobre las ajustables lisas.<br />
TAMAÑO: TWIN SIZE / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SIENA / TRINI / BRAD / MAX / GASPAR / JIM"
4229	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JDQ	SabanasAMI18JDX	sabanas-arcoiris-180-hilos-mixto--sabanasami18jdq	Tamaño Queen - 160x200	1731.90	1	Blanquería/Arco Iris	"Sábanas 180 Hilos de composición mixta, muy fáciles de lavar y planchar, románticas o geométricas, con colores sobrios o más audaces, las estampas se destacan por su personalidad sobre las ajustables lisas.<br />
TAMAÑO: TWIN SIZE / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SIENA / TRINI / BRAD / MAX / GASPAR / JIM"
4227	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JDX		sabanas-arcoiris-180-hilos-mixto--sabanasami18jdx	Tamaño Twin - 100x195	1108.50	1	Blanquería/Arco Iris	"Sábanas 180 Hilos de composición mixta, muy fáciles de lavar y planchar, románticas o geométricas, con colores sobrios o más audaces, las estampas se destacan por su personalidad sobre las ajustables lisas.<br />
TAMAÑO: TWIN SIZE / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SIENA / TRINI / BRAD / MAX / GASPAR / JIM"
6511	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JFK	SabanasAMI18JFQ	sabanas-arcoiris-180-hilos-mixto--sabanasami18jfk	Funda King	441.90	1	Blanquería/Arco Iris	"Línea Institucional Arcoiris. Sábanas 180 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / TWIN SIZE / QUEEN SIZE / KING SIZE<br />"
6510	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JFQ		sabanas-arcoiris-180-hilos-mixto--sabanasami18jfq	Funda: 52x80	376.50	1	Blanquería/Arco Iris	"Línea Institucional Arcoiris. Sábanas 180 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / TWIN SIZE / QUEEN SIZE / KING SIZE<br />"
6514	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JLQ	SabanasAMI18JFQ	sabanas-arcoiris-180-hilos-mixto--sabanasami18jlq	Tamaño Queen	2057.50	1	Blanquería/Arco Iris	"Línea Institucional Arcoiris. Sábanas 180 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / TWIN SIZE / QUEEN SIZE / KING SIZE<br />"
6512	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JLS	SabanasAMI18JFQ	sabanas-arcoiris-180-hilos-mixto--sabanasami18jls	Tamaño 1 ½	1338.50	1	Blanquería/Arco Iris	"Línea Institucional Arcoiris. Sábanas 180 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / TWIN SIZE / QUEEN SIZE / KING SIZE<br />"
6515	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JLW	SabanasAMI18JFQ	sabanas-arcoiris-180-hilos-mixto--sabanasami18jlw	Tamaño King	2254.90	1	Blanquería/Arco Iris	"Línea Institucional Arcoiris. Sábanas 180 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / TWIN SIZE / QUEEN SIZE / KING SIZE<br />"
6513	Sabanas Arcoiris 180 Hilos Mixto	SabanasAMI18JLX	SabanasAMI18JFQ	sabanas-arcoiris-180-hilos-mixto--sabanasami18jlx	Tamaño Twin	1489.90	1	Blanquería/Arco Iris	"Línea Institucional Arcoiris. Sábanas 180 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / TWIN SIZE / QUEEN SIZE / KING SIZE<br />"
6458	Sabanas Arcoiris 200 Hilos Algodon Borde y Vivo	SabanasA1L20JDC		sabanas-arcoiris-200-hilos-algodon-borde-y-vivo-sabanasa1l20jdc	Tamaño 2 ½ - 140x200	1821.90	1	Blanquería/Arco Iris	"Si a la delicadeza del algodón de la mejor calidad se la corona con un vivo en tonos sobrios, se obtiene la fórmula para camas elegantes, amables al tacto y a la vista. Un eterno clásico que jamás pasará de moda. Sabanas 200 hilos blanca lisa con borde agregado y vivos. 100% algodón peinado.<br />
TAMAÑO: 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6460	Sabanas Arcoiris 200 Hilos Algodon Borde y Vivo	SabanasA1L20JDK	SabanasA1L20JDC	sabanas-arcoiris-200-hilos-algodon-borde-y-vivo-sabanasa1l20jdk	Tamaño King - 200x200	2459.90	1	Blanquería/Arco Iris	"Si a la delicadeza del algodón de la mejor calidad se la corona con un vivo en tonos sobrios, se obtiene la fórmula para camas elegantes, amables al tacto y a la vista. Un eterno clásico que jamás pasará de moda. Sabanas 200 hilos blanca lisa con borde agregado y vivos. 100% algodón peinado.<br />
TAMAÑO: 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6459	Sabanas Arcoiris 200 Hilos Algodon Borde y Vivo	SabanasA1L20JDQ	SabanasA1L20JDC	sabanas-arcoiris-200-hilos-algodon-borde-y-vivo-sabanasa1l20jdq	Tamaño Queen - 160x200	2143.90	1	Blanquería/Arco Iris	"Si a la delicadeza del algodón de la mejor calidad se la corona con un vivo en tonos sobrios, se obtiene la fórmula para camas elegantes, amables al tacto y a la vista. Un eterno clásico que jamás pasará de moda. Sabanas 200 hilos blanca lisa con borde agregado y vivos. 100% algodón peinado.<br />
TAMAÑO: 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6455	"Sabanas Arcoiris 200 Hilos Algodon Borde, Vivo y Cordón"	SabanasA1C20JDC		"sabanas-arcoiris-200-hilos-algodon-borde,-vivo-y-cordón-sabanasa1c20jdc"	Tamaño 2 ½ - 140x200	1821.90	1	Blanquería/Arco Iris	"Si a la delicadeza del algodón de la mejor calidad se la corona con un vivo y cordón en tonos sobrios, se obtiene la fórmula para camas elegantes, amables al tacto y a la vista. Un eterno clásico que jamás pasará de moda. Sabanas 200 hilos blanca con borde agregado vivos y cordón. 100% algodón peinado.<br />
TAMAÑO: 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6457	"Sabanas Arcoiris 200 Hilos Algodon Borde, Vivo y Cordón"	SabanasA1C20JDK	SabanasA1C20JDC	"sabanas-arcoiris-200-hilos-algodon-borde,-vivo-y-cordón-sabanasa1c20jdk"	Tamaño King - 200x200	2459.90	1	Blanquería/Arco Iris	"Si a la delicadeza del algodón de la mejor calidad se la corona con un vivo y cordón en tonos sobrios, se obtiene la fórmula para camas elegantes, amables al tacto y a la vista. Un eterno clásico que jamás pasará de moda. Sabanas 200 hilos blanca con borde agregado vivos y cordón. 100% algodón peinado.<br />
TAMAÑO: 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6456	"Sabanas Arcoiris 200 Hilos Algodon Borde, Vivo y Cordón"	SabanasA1C20JDQ	SabanasA1C20JDC	"sabanas-arcoiris-200-hilos-algodon-borde,-vivo-y-cordón-sabanasa1c20jdq"	Tamaño Queen - 160x200	2143.90	1	Blanquería/Arco Iris	"Si a la delicadeza del algodón de la mejor calidad se la corona con un vivo y cordón en tonos sobrios, se obtiene la fórmula para camas elegantes, amables al tacto y a la vista. Un eterno clásico que jamás pasará de moda. Sabanas 200 hilos blanca con borde agregado vivos y cordón. 100% algodón peinado.<br />
TAMAÑO: 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
4282	Sabanas Fantasia 100 Algodón	SabanasFANTPJDC	SabanasFANTPJDS	sabanas-fantasia-100-algodón-sabanasfantpjdc	Tamaño 2 ½ - 140x190	969.90	1	Blanquería/Palette - Santista - Fantasía	"Una línea de sábanas con decidida identidad propia. La alegría de floreados silvestres, la sobriedad de las rayas, el espíritu lúdico de las formas geométricas. Cada artículo de la línea fantasía está destinado a convertirse en un clásico.<br />
TAMAÑO: 1 ½ Plaza -  2 ½ Plazas<br />
MODELO: SONNY - WOLF - DONATO - ABEL - SAMIRA - ALICE - AIME - DAVI - FABIO - JOANO - LIONEL - DELFI"
4281	Sabanas Fantasia 100 Algodón	SabanasFANTPJDS		sabanas-fantasia-100-algodón-sabanasfantpjds	Tamaño 1 ½  - 90x190	767.50	1	Blanquería/Palette - Santista - Fantasía	"Una línea de sábanas con decidida identidad propia. La alegría de floreados silvestres, la sobriedad de las rayas, el espíritu lúdico de las formas geométricas. Cada artículo de la línea fantasía está destinado a convertirse en un clásico.<br />
TAMAÑO: 1 ½ Plaza -  2 ½ Plazas<br />
MODELO: SONNY - WOLF - DONATO - ABEL - SAMIRA - ALICE - AIME - DAVI - FABIO - JOANO - LIONEL - DELFI"
6517	Sabanas Fantasía 150 Hilos Mixto	SabanasFAM15JFK	SabanasFAM15JFQ	sabanas-fantasía-150-hilos-mixto--sabanasfam15jfk	Funda King	334.90	1	Blanquería/Palette - Santista - Fantasía	"Línea Institucional Fantasía. Sábanas 150 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6516	Sabanas Fantasía 150 Hilos Mixto	SabanasFAM15JFQ		sabanas-fantasía-150-hilos-mixto--sabanasfam15jfq	Funda: 52x80	305.50	1	Blanquería/Palette - Santista - Fantasía	"Línea Institucional Fantasía. Sábanas 150 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6519	Sabanas Fantasía 150 Hilos Mixto	SabanasFAM15JLC	SabanasFAM15JFQ	sabanas-fantasía-150-hilos-mixto--sabanasfam15jlc	Tamaño 2 ½	1398.50	1	Blanquería/Palette - Santista - Fantasía	"Línea Institucional Fantasía. Sábanas 150 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6521	Sabanas Fantasía 150 Hilos Mixto	SabanasFAM15JLK	SabanasFAM15JFQ	sabanas-fantasía-150-hilos-mixto--sabanasfam15jlk	Tamaño King	1687.90	1	Blanquería/Palette - Santista - Fantasía	"Línea Institucional Fantasía. Sábanas 150 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6520	Sabanas Fantasía 150 Hilos Mixto	SabanasFAM15JLQ	SabanasFAM15JFQ	sabanas-fantasía-150-hilos-mixto--sabanasfam15jlq	Tamaño Queen	1534.90	1	Blanquería/Palette - Santista - Fantasía	"Línea Institucional Fantasía. Sábanas 150 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6518	Sabanas Fantasía 150 Hilos Mixto	SabanasFAM15JLS	SabanasFAM15JFQ	sabanas-fantasía-150-hilos-mixto--sabanasfam15jls	Tamaño 1 ½	1047.90	1	Blanquería/Palette - Santista - Fantasía	"Línea Institucional Fantasía. Sábanas 150 Hilos de composición mixta<br />
TAMAÑO: FUNDA 52X80 cm  / FUNDA KING 52x100 cm / 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />"
6476	Sabanas Fantasia Bebe	CunaFANPBJDB		sabanas-fantasia-bebe-cunafanpbjdb	Tamaño Cuna 90x140	562.50	1	Blanquería/Palette - Santista - Fantasía	"Las cunas son mucho más lindas y divertidas equipadas con sábanas de la línea bebé de fantasía en 100% algodón. Los motivos Baloon, Belu y Zoo alegran y protegen a pura caricia el descanso de los más chiquitos.<br />
TAMAÑO 1: CUNA 90X140 Y TAMAÑO 2: CUNA FUNCIONAL 120X165<br />
Modelos: BALOON 1 / BALOON 2 / ZOO / BELU 1 / BELU 2 / REX"
6477	Sabanas Fantasia Bebe	CunaFANPBJDF	CunaFANPBJDB	sabanas-fantasia-bebe-cunafanpbjdf	Tamaño Cuna Funcional 120x165	606.50	1	Blanquería/Palette - Santista - Fantasía	"Las cunas son mucho más lindas y divertidas equipadas con sábanas de la línea bebé de fantasía en 100% algodón. Los motivos Baloon, Belu y Zoo alegran y protegen a pura caricia el descanso de los más chiquitos.<br />
TAMAÑO 1: CUNA 90X140 Y TAMAÑO 2: CUNA FUNCIONAL 120X165<br />
Modelos: BALOON 1 / BALOON 2 / ZOO / BELU 1 / BELU 2 / REX"
4285	Sabanas Fantasia Infantil	SabanasFANIPJDS		sabanas-fantasia-infantil-sabanasfanipjds		769.90	1	Blanquería/Palette - Santista - Fantasía	"Juego, imaginación y color. La línea fantasía infantil aporta alegría y creatividad al dormitorio de los chicos. Animales de la selva, aviones, autitos y personajes que se convertirán en amigos de los niños y niñas que descansan envueltos en ellos. Dulces sueños para todos.<br />
TAMAÑO: 1 ½ Plaza<br />
Modelos: MIAU - SAFARI - AUTOS - AVIONES - MARIPOSAS - MAGIC - PIRATA"
4284	Sabanas Fantasia Suavemix	SabanasFAMICJDC	SabanasFAMICJDS	sabanas-fantasia-suavemix-sabanasfamicjdc	Tamaño 2 ½ - 140x190	910.90	1	Blanquería/Palette - Santista - Fantasía	"Sabanas Fantasía Suavemix. Estampados de una belleza serena en tonos suaves tanto en las sábanas planas, como en las ajustables y fundas. Un diseño que visita los clásicos y los trae al presente reinterpretados. Una invitación al reposo de todos los sentidos.<br />
TAMAÑO: 1 ½ Plaza -  2 ½ Plazas<br />
Modelos: YANK - LINO - MARTIN -WILLY - CECI - MEG - ALEXA - BART - EVELYN - NUNO - RICK - YAGO"
4283	Sabanas Fantasia Suavemix	SabanasFAMICJDS		sabanas-fantasia-suavemix-sabanasfamicjds	Tamaño 1 ½  - 90x190	708.90	1	Blanquería/Palette - Santista - Fantasía	"Sabanas Fantasía Suavemix. Estampados de una belleza serena en tonos suaves tanto en las sábanas planas, como en las ajustables y fundas. Un diseño que visita los clásicos y los trae al presente reinterpretados. Una invitación al reposo de todos los sentidos.<br />
TAMAÑO: 1 ½ Plaza -  2 ½ Plazas<br />
Modelos: YANK - LINO - MARTIN -WILLY - CECI - MEG - ALEXA - BART - EVELYN - NUNO - RICK - YAGO"
6479	Sabanas Fantasía Suavemix	SabanasFAMIECBC	SabanasFAMIECBY	sabanas-fantasía-suavemix-sabanasfamiecbc	Tamaño 2 ½ - 140x190	1885.50	0	Blanquería/Palette - Santista - Fantasía	"Los kits de quilt con fundones fantasía  suavemix se las ingenian para combinar  frescura y calidez. Vienen en bolsa de pvc  en medidas 1 ½ plaza, 2 ½ Plazas, Queen Size  y King Size. Resultan el remate perfecto  para camas elegantes y contemporáneas.<br />
TAMAÑO: 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SAMIA2 - LALITA1 - LALITA2 - IDA1 - DINIS1 - DINIS2 - AVIONES 1 ½  - MARIPOSAS 1 ½"
6481	Sabanas Fantasía Suavemix	SabanasFAMIECBK	SabanasFAMIECBY	sabanas-fantasía-suavemix-sabanasfamiecbk	Tamaño King - 193x200	2512.90	0	Blanquería/Palette - Santista - Fantasía	"Los kits de quilt con fundones fantasía  suavemix se las ingenian para combinar  frescura y calidez. Vienen en bolsa de pvc  en medidas 1 ½ plaza, 2 ½ Plazas, Queen Size  y King Size. Resultan el remate perfecto  para camas elegantes y contemporáneas.<br />
TAMAÑO: 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SAMIA2 - LALITA1 - LALITA2 - IDA1 - DINIS1 - DINIS2 - AVIONES 1 ½  - MARIPOSAS 1 ½"
6480	Sabanas Fantasía Suavemix	SabanasFAMIECBQ	SabanasFAMIECBY	sabanas-fantasía-suavemix-sabanasfamiecbq	Tamaño Queen - 160x200	2263.50	0	Blanquería/Palette - Santista - Fantasía	"Los kits de quilt con fundones fantasía  suavemix se las ingenian para combinar  frescura y calidez. Vienen en bolsa de pvc  en medidas 1 ½ plaza, 2 ½ Plazas, Queen Size  y King Size. Resultan el remate perfecto  para camas elegantes y contemporáneas.<br />
TAMAÑO: 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SAMIA2 - LALITA1 - LALITA2 - IDA1 - DINIS1 - DINIS2 - AVIONES 1 ½  - MARIPOSAS 1 ½"
6478	Sabanas Fantasía Suavemix	SabanasFAMIECBY		sabanas-fantasía-suavemix-sabanasfamiecby	Tamaño 1 ½  - 90x190	1654.90	0	Blanquería/Palette - Santista - Fantasía	"Los kits de quilt con fundones fantasía  suavemix se las ingenian para combinar  frescura y calidez. Vienen en bolsa de pvc  en medidas 1 ½ plaza, 2 ½ Plazas, Queen Size  y King Size. Resultan el remate perfecto  para camas elegantes y contemporáneas.<br />
TAMAÑO: 1 ½ PLAZAS / 2 ½ PLAZAS / QUEEN SIZE / KING SIZE<br />
Modelos: SAMIA2 - LALITA1 - LALITA2 - IDA1 - DINIS1 - DINIS2 - AVIONES 1 ½  - MARIPOSAS 1 ½"
4294	Sabanas Santista 150 Hilos Prata	SabanasPRA15JDC	SabanasPRA15JDS	sabanas-santista-150-hilos-prata-sabanaspra15jdc	Tamaño 2 ½ - 140x190	1210.50	1	Blanquería/Palette - Santista - Fantasía	"Floreadas o de líneas geométricas, en colores pastel o en tonos de marcada personalidad, las sábanas de la línea Prata recrean climas de tiempos pasados y futuros. Suaves y agradables, invitan a un sueño siempre placentero.<br />
TAMAÑO: 1 ½ PLAZAS / 2 ½ PLAZAS / KING SIZE<br />
Modelos: ULISES - RENZO - ZAKI - ANTONY - CAMILA - LEILA - ARIANA - BERNARDO - MATEO - NERO - TALES - TELMA<br /> 
LISAS: VIOLETA - PETROLEO - AZUL MARINO - ROJO - AZUL FRANCIA - FUCSIA - BLANCO - CELESTE - ROSA - LILA"
5611	Sabanas Santista 150 Hilos Prata	SabanasPRA15JDK	SabanasPRA15JDS	sabanas-santista-150-hilos-prata-sabanaspra15jdk	Tamaño King - 193x200	1463.90	1	Blanquería/Palette - Santista - Fantasía	"Floreadas o de líneas geométricas, en colores pastel o en tonos de marcada personalidad, las sábanas de la línea Prata recrean climas de tiempos pasados y futuros. Suaves y agradables, invitan a un sueño siempre placentero.<br />
TAMAÑO: 1 ½ PLAZAS / 2 ½ PLAZAS / KING SIZE<br />
Modelos: ULISES - RENZO - ZAKI - ANTONY - CAMILA - LEILA - ARIANA - BERNARDO - MATEO - NERO - TALES - TELMA<br /> 
LISAS: VIOLETA - PETROLEO - AZUL MARINO - ROJO - AZUL FRANCIA - FUCSIA - BLANCO - CELESTE - ROSA - LILA"
4295	Sabanas Santista 150 Hilos Prata	SabanasPRA15JDQ	SabanasPRA15JDS	sabanas-santista-150-hilos-prata-sabanaspra15jdq	Tamaño Queen - 160x200	1342.90	1	Blanquería/Palette - Santista - Fantasía	"Floreadas o de líneas geométricas, en colores pastel o en tonos de marcada personalidad, las sábanas de la línea Prata recrean climas de tiempos pasados y futuros. Suaves y agradables, invitan a un sueño siempre placentero.<br />
TAMAÑO: 1 ½ PLAZAS / 2 ½ PLAZAS / KING SIZE<br />
Modelos: ULISES - RENZO - ZAKI - ANTONY - CAMILA - LEILA - ARIANA - BERNARDO - MATEO - NERO - TALES - TELMA<br /> 
LISAS: VIOLETA - PETROLEO - AZUL MARINO - ROJO - AZUL FRANCIA - FUCSIA - BLANCO - CELESTE - ROSA - LILA"
