cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0101044070,230F CONJ FAIRUZ,CONJUNTO,LENCERIA,230F,fairuz
0101044080,231F CONJ FAIRUZ,CONJUNTO,LENCERIA,231F,fairuz
0101044090,232F CONJ FAIRUZ,CONJUNTO,LENCERIA,232F,fairuz
0101044100,233F CONJ FAIRUZ,CONJUNTO,LENCERIA,233F,fairuz
0101044110,234F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,234F,fairuz
0101044120,235F CONJ FAIRUZ,CONJUNTO,LENCERIA,235F,fairuz
0101044130,236F CONJ FAIRUZ,CONJUNTO,LENCERIA,236F,fairuz
0101044140,237F CONJ FAIRUZ,CONJUNTO,LENCERIA,237F,fairuz
0101044150,238F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,238F,fairuz
0101044160,239F CONJ FAIRUZ,CONJUNTO,LENCERIA,239F,fairuz
0101044170,240F CONJ FAIRUZ,CONJUNTO,LENCERIA,240F,fairuz
0101044180,244F CONJ FAIRUZ,CONJUNTO,LENCERIA,244F,fairuz
0101044190,247F CONJ FAIRUZ,CONJUNTO,LENCERIA,247F,fairuz
0101044200,248F CONJ FAIRUZ,CONJUNTO,LENCERIA,248F,fairuz
0101044210,251F CONJ FAIRUZ,CONJUNTO,LENCERIA,251F,fairuz
0101044220,253F CONJ FAIRUZ,CONJUNTO,LENCERIA,253F,fairuz
0101044230,257F CONJ FAIRUZ,CONJUNTO,LENCERIA,257F,fairuz
0101044240,259F CONJ FAIRUZ,CONJUNTO,LENCERIA,259F,fairuz
0101044250,260F CONJ FAIRUZ,CONJUNTO,LENCERIA,260F,fairuz
0101044260,261F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,261F,fairuz
0101044270,266F CONJ FAIRUZ,CONJUNTO,LENCERIA,266F,fairuz
0101044280,267F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,267F,fairuz
0101044290,270F FAIRUS,CONJUNTO,LENCERIA,270F,fairuz
0101044300,273F CONJ FAIRUZ,CONJUNTO,LENCERIA,273F,fairuz
0101044310,275F CONJ FAIRUZ,CONJUNTO,LENCERIA,275F,fairuz
0101044320,276F CONJ FAIRUZ,CONJUNTO,LENCERIA,276F,fairuz
0101044330,285F CONJ FAIRUZ,CONJUNTO,LENCERIA,285F,fairuz
0101044340,286F CONJ FAIRUZ,CONJUNTO,LENCERIA,286F,fairuz
