Codart,Descripcion,Descadicional,Familia,barcode,marca
0101203840,239F T90 NUDE,CONJUNTO,LENCERIA,30239090NU,fairuz
0101203850,239F T95 BLANCO,CONJUNTO,LENCERIA,30239095BCO,fairuz
0101203860,239F T95 NEGRO,CONJUNTO,LENCERIA,30239095NG,fairuz
0101203870,239F T95 ROJO,CONJUNTO,LENCERIA,30239095ROJ,fairuz
0101203880,239F T95 NUDE,CONJUNTO,LENCERIA,30239095NU,fairuz
0101203890,239F T100 BLANCO,CONJUNTO,LENCERIA,30239100BCO,fairuz
0101203900,239F T100 NEGRO,CONJUNTO,LENCERIA,30239100NG,fairuz
0101203910,239F T100 ROJO,CONJUNTO,LENCERIA,30239100ROJ,fairuz
0101203920,239F T100 NUDE,CONJUNTO,LENCERIA,30239100NU,fairuz
0101203930,253F T85 BLANCO,CONJUNTO,LENCERIA,30253085BCO,fairuz
0101203940,253F T85 NEGRO,CONJUNTO,LENCERIA,30253085NGO,fairuz
0101203950,253F T85 ROSA,CONJUNTO,LENCERIA,30253085ROS,fairuz
0101203960,253F T85 AZUL FRAN,CONJUNTO,LENCERIA,30253085AZFR,fairuz
0101203970,253F T85 ROJO,CONJUNTO,LENCERIA,30253085ROJ,fairuz
0101203980,253F T90 BLANCO,CONJUNTO,LENCERIA,30253090BCO,fairuz
0101203990,253F T90 NEGRO,CONJUNTO,LENCERIA,30253090NGO,fairuz
0101204000,253F T90 ROSA,CONJUNTO,LENCERIA,30253090ROS,fairuz
0101204010,253F T90 AZUL FRAN,CONJUNTO,LENCERIA,30253090AZFR,fairuz
0101204020,253F T90 ROJO,CONJUNTO,LENCERIA,30253090ROJ,fairuz
0101204030,253F T95 BLANCO,CONJUNTO,LENCERIA,30253095BCO,fairuz
0101204040,253F T95 NEGRO,CONJUNTO,LENCERIA,30253095NGO,fairuz
0101204050,253F T95 ROSA,CONJUNTO,LENCERIA,30253095ROS,fairuz
0101204060,253F T95 AZUL FRAN,CONJUNTO,LENCERIA,30253095AZFR,fairuz
0101204070,253F T95 ROJO,CONJUNTO,LENCERIA,30253095ROJ,fairuz
0101204080,253F T100 BLANCO,CONJUNTO,LENCERIA,30253100BCO,fairuz
0101204090,253F T100 NEGRO,CONJUNTO,LENCERIA,30253100NGO,fairuz
0101204100,253F T100 ROSA,CONJUNTO,LENCERIA,30253100ROS,fairuz
0101204110,253F T100 AZUL FRAN,CONJUNTO,LENCERIA,30253100AZFR,fairuz
0101204120,253F T100 ROJO,CONJUNTO,LENCERIA,30253100ROJ,fairuz
0101204130,260F T85 BLANCO,CONJUNTO,LENCERIA,30260085BCO,fairuz
0101204140,260F T85 NEGRO,CONJUNTO,LENCERIA,30260085NG,fairuz
0101204150,260F T85 HUESO,CONJUNTO,LENCERIA,30260085HSO,fairuz
0101204160,260F T85 ROSA,CONJUNTO,LENCERIA,30260085ROS,fairuz
0101204170,260F T85 ALMENDRA,CONJUNTO,LENCERIA,30260085ALM,fairuz
0101204180,260F T85 GRIS,CONJUNTO,LENCERIA,30260085GR,fairuz
0101204190,260F T90 BLANCO,CONJUNTO,LENCERIA,30260090BCO,fairuz
0101204200,260F T90 NEGRO,CONJUNTO,LENCERIA,30260090NG,fairuz
0101204210,260F T90 HUESO,CONJUNTO,LENCERIA,30260090HSO,fairuz
0101204220,260F T90 ROSA,CONJUNTO,LENCERIA,30260090ROS,fairuz
0101204230,260F T90 ALMENDRA,CONJUNTO,LENCERIA,30260090ALM,fairuz
0101204240,260F T90 GRIS,CONJUNTO,LENCERIA,30260090GR,fairuz
0101204250,260F T95 BLANCO,CONJUNTO,LENCERIA,30260095BCO,fairuz
0101204260,260F T95 NEGRO,CONJUNTO,LENCERIA,30260095NG,fairuz
0101204270,260F T95 HUESO,CONJUNTO,LENCERIA,30260095HSO,fairuz
0101204280,260F T95 ROSA,CONJUNTO,LENCERIA,30260095ROS,fairuz
0101204290,260F T95 ALMENDRA,CONJUNTO,LENCERIA,30260095ALM,fairuz
0101204300,260F T95 GRIS,CONJUNTO,LENCERIA,30260095GR,fairuz
0101204310,260F T100 BLANCO,CONJUNTO,LENCERIA,30260100BCO,fairuz
0101204320,260F T100 NEGRO,CONJUNTO,LENCERIA,30260100NG,fairuz
0101204330,260F T100 HUESO,CONJUNTO,LENCERIA,30260100HSO,fairuz
0101204340,260F T100 ROSA,CONJUNTO,LENCERIA,30260100ROS,fairuz
0101204350,260F T100 ALMENDRA,CONJUNTO,LENCERIA,30260100ALM,fairuz
0101204360,260F T100 GRIS,CONJUNTO,LENCERIA,30260100GR,fairuz
0101204370,301F T1 BLANCO/NG,CONJUNTO,LENCERIA,30301001BCONG,fairuz
0101204380,301F T1 NEGRO/BC,CONJUNTO,LENCERIA,30301001NGBC,fairuz
0101204390,301F T1 GRIS/NG,CONJUNTO,LENCERIA,30301001GRNG,fairuz
0101204400,301F T1 NEGRO/FUC,CONJUNTO,LENCERIA,30301001NGFUC,fairuz
0101204410,301F T1 TURQUE/NG,CONJUNTO,LENCERIA,30301001TURNG,fairuz
0101204420,301F T1 ROJO/NG,CONJUNTO,LENCERIA,30301001ROJNG,fairuz
0101204430,301F T2 BLANCO/NG,CONJUNTO,LENCERIA,30301002BCONG,fairuz
0101204440,301F T2 NEGRO/BC,CONJUNTO,LENCERIA,30301002NGBC,fairuz
0101204450,301F T2 GRIS/NG,CONJUNTO,LENCERIA,30301002GRNG,fairuz
0101204460,301F T2 NEGRO/FUC,CONJUNTO,LENCERIA,30301002NGFUC,fairuz
0101204470,301F T2 TURQUE/NG,CONJUNTO,LENCERIA,30301002TURNG,fairuz
0101204480,301F T2 ROJO/NG,CONJUNTO,LENCERIA,30301002ROJNG,fairuz
0101204490,301F T3 BLANCO/NG,CONJUNTO,LENCERIA,30301003BCONG,fairuz
0101204500,301F T3 NEGRO/BC,CONJUNTO,LENCERIA,30301003NGBC,fairuz
0101204510,301F T3 GRIS/NG,CONJUNTO,LENCERIA,30301003GRNG,fairuz
0101204520,301F T3 NEGRO/FUC,CONJUNTO,LENCERIA,30301003NGFUC,fairuz
0101204530,301F T3 TURQUE/NG,CONJUNTO,LENCERIA,30301003TURNG,fairuz
0101204540,301F T3 ROJO/NG,CONJUNTO,LENCERIA,30301003ROJNG,fairuz
0101204550,301F T4 BLANCO/NG,CONJUNTO,LENCERIA,30301004BCONG,fairuz
0101204560,301F T4 NEGRO/BC,CONJUNTO,LENCERIA,30301004NGBC,fairuz
0101204570,301F T4 GRIS/NG,CONJUNTO,LENCERIA,30301004GRNG,fairuz
0101204580,301F T4 NEGRO/FUC,CONJUNTO,LENCERIA,30301004NGFUC,fairuz
0101204590,301F T4 TURQUE/NG,CONJUNTO,LENCERIA,30301004TURNG,fairuz
0101204600,301F T4 ROJO/NG,CONJUNTO,LENCERIA,30301004ROJNG,fairuz
0101204610,305F T1 BLANCO,CONJUNTO,LENCERIA,30305001BCO,fairuz
0101204620,305F T1 ROSA,CONJUNTO,LENCERIA,30305001ROS,fairuz
0101204630,305F T1 TURQUESA,CONJUNTO,LENCERIA,30305001TUR,fairuz
0101204640,305F T1 GRIS,CONJUNTO,LENCERIA,30305001GR,fairuz
0101204650,305F T2 BLANCO,CONJUNTO,LENCERIA,30305002BCO,fairuz
0101204660,305F T2 ROSA,CONJUNTO,LENCERIA,30305002ROS,fairuz
0101204670,305F T2 TURQUESA,CONJUNTO,LENCERIA,30305002TUR,fairuz
0101204680,305F T2 GRIS,CONJUNTO,LENCERIA,30305002GR,fairuz
0101204690,305F T3 BLANCO,CONJUNTO,LENCERIA,30305003BCO,fairuz
0101204700,305F T3 ROSA,CONJUNTO,LENCERIA,30305003ROS,fairuz
0101204710,305F T3 TURQUESA,CONJUNTO,LENCERIA,30305003TUR,fairuz
0101204720,305F T3 GRIS,CONJUNTO,LENCERIA,30305003GR,fairuz
0101204730,305F T4 BLANCO,CONJUNTO,LENCERIA,30305004BCO,fairuz
0101204740,305F T4 ROSA,CONJUNTO,LENCERIA,30305004ROS,fairuz
0101204750,305F T4 TURQUESA,CONJUNTO,LENCERIA,30305004TUR,fairuz
0101204760,305F T4 GRIS,CONJUNTO,LENCERIA,30305004GR,fairuz
0101204770,425F T95 BLANCO,CONJUNTO,LENCERIA,30425095BCO,fairuz
0101204780,425F T95 NEGRO,CONJUNTO,LENCERIA,30425095NG,fairuz
0101204790,425F T95 ROSA,CONJUNTO,LENCERIA,30425095ROS,fairuz
0101204800,425F T95 ALMENDRA,CONJUNTO,LENCERIA,30425095ALM,fairuz
0101204810,425F T100 BLANCO,CONJUNTO,LENCERIA,30425100BCO,fairuz
0101204820,425F T100 NEGRO,CONJUNTO,LENCERIA,30425100NG,fairuz
0101204830,425F T100 ROSA,CONJUNTO,LENCERIA,30425100ROS,fairuz
0101204840,425F T100 ALMENDRA,CONJUNTO,LENCERIA,30425100ALM,fairuz
0101204850,425F T105 BLANCO,CONJUNTO,LENCERIA,30425105BCO,fairuz
0101204860,425F T105 NEGRO,CONJUNTO,LENCERIA,30425105NG,fairuz
0101204870,425F T105 ROSA,CONJUNTO,LENCERIA,30425105ROS,fairuz
0101204880,425F T105 ALMENDRA,CONJUNTO,LENCERIA,30425105ALM,fairuz
0101204890,425F T110 BLANCO,CONJUNTO,LENCERIA,30425110BCO,fairuz
0101204900,425F T110 NEGRO,CONJUNTO,LENCERIA,30425110NG,fairuz
0101204910,425F T110 ROSA,CONJUNTO,LENCERIA,30425110ROS,fairuz
0101204920,425F T110 ALMENDRA,CONJUNTO,LENCERIA,30425110ALM,fairuz
0101204930,425F T115 BLANCO,CONJUNTO,LENCERIA,30425115BCO,fairuz
0101204940,425F T115 NEGRO,CONJUNTO,LENCERIA,30425115NG,fairuz
0101204950,425F T115 ROSA,CONJUNTO,LENCERIA,30425115ROS,fairuz
0101204960,425F T115 ALMENDRA,CONJUNTO,LENCERIA,30425115ALM,fairuz
0101204970,425F T120 BLANCO,CONJUNTO,LENCERIA,30425120BCO,fairuz
0101204980,425F T120 NEGRO,CONJUNTO,LENCERIA,30425120NG,fairuz
0101204990,425F T120 ROSA,CONJUNTO,LENCERIA,30425120ROS,fairuz
0101205000,425F T120 ALMENDRA,CONJUNTO,LENCERIA,30425120ALM,fairuz
0101205010,426F T90 BLANCO,CONJUNTO,LENCERIA,30426090BCO,fairuz
0101205020,426F T90 NEGRO,CONJUNTO,LENCERIA,30426090NG,fairuz
0101205030,426F T90 HUESO,CONJUNTO,LENCERIA,30426090HSO,fairuz
0101205040,426F T90 SALMON,CONJUNTO,LENCERIA,30426090SAL,fairuz
0101205050,426F T95 BLANCO,CONJUNTO,LENCERIA,30426095BCO,fairuz
0101205060,426F T95 NEGRO,CONJUNTO,LENCERIA,30426095NG,fairuz
0101205070,426F T95 HUESO,CONJUNTO,LENCERIA,30426095HSO,fairuz
0101205080,426F T95 SALMON,CONJUNTO,LENCERIA,30426095SAL,fairuz
0101205090,426F T100 BLANCO,CONJUNTO,LENCERIA,30426100BCO,fairuz
0101205100,426F T100 NEGRO,CONJUNTO,LENCERIA,30426100NG,fairuz
0101205110,426F T100 HUESO,CONJUNTO,LENCERIA,30426100HSO,fairuz
0101205120,426F T100 SALMON,CONJUNTO,LENCERIA,30426100SAL,fairuz
0101205130,426F T105 BLANCO,CONJUNTO,LENCERIA,30426105BCO,fairuz
0101205140,426F T105 NEGRO,CONJUNTO,LENCERIA,30426105NG,fairuz
0101205150,426F T105 HUESO,CONJUNTO,LENCERIA,30426105HSO,fairuz
0101205160,426F T105 SALMON,CONJUNTO,LENCERIA,30426105SAL,fairuz
0101205170,426F T110 BLANCO,CONJUNTO,LENCERIA,30426110BCO,fairuz
0101205180,426F T110 NEGRO,CONJUNTO,LENCERIA,30426110NG,fairuz
0101205190,426F T110 HUESO,CONJUNTO,LENCERIA,30426110HSO,fairuz
0101205200,426F T110 SALMON,CONJUNTO,LENCERIA,30426110SAL,fairuz
0101205210,2020F T85 NUDE,CONJUNTO,LENCERIA,302020085NU,fairuz
0101205220,2020F T85 BLANCO,CONJUNTO,LENCERIA,302020085BCO,fairuz
0101205230,2020F T85 NEGRO,CONJUNTO,LENCERIA,302020085NG,fairuz
0101205240,2020F T85 AZUL FRAN,CONJUNTO,LENCERIA,302020085AZFR,fairuz
0101205250,2020F T85 LANGOS,CONJUNTO,LENCERIA,302020085LANG,fairuz
0101205260,2020F T85 BORDO,CONJUNTO,LENCERIA,302020085BOR,fairuz
0101205270,2020F T90 NUDE,CONJUNTO,LENCERIA,302020090NU,fairuz
0101205280,2020F T90 BLANCO,CONJUNTO,LENCERIA,302020090BCO,fairuz
0101205290,2020F T90 NEGRO,CONJUNTO,LENCERIA,302020090NG,fairuz
0101205300,2020F T90 AZUL FRAN,CONJUNTO,LENCERIA,302020090AZFR,fairuz
0101205310,2020F T90 LANGOS,CONJUNTO,LENCERIA,302020090LANG,fairuz
0101205320,2020F T90 BORDO,CONJUNTO,LENCERIA,302020090BOR,fairuz
0101205330,2020F T95 NUDE,CONJUNTO,LENCERIA,302020095NU,fairuz
0101205340,2020F T95 BLANCO,CONJUNTO,LENCERIA,302020095BCO,fairuz
0101205350,2020F T95 NEGRO,CONJUNTO,LENCERIA,302020095NG,fairuz
0101205360,2020F T95 AZUL FRAN,CONJUNTO,LENCERIA,302020095AZFR,fairuz
0101205370,2020F T95 LANGOS,CONJUNTO,LENCERIA,302020095LANG,fairuz
0101205380,2020F T95 BORDO,CONJUNTO,LENCERIA,302020095BOR,fairuz
0101205390,2020F T100 NUDE,CONJUNTO,LENCERIA,302020100NU,fairuz
0101205400,2020F T100 BLANCO,CONJUNTO,LENCERIA,302020100BCO,fairuz
0101205410,2020F T100 NEGRO,CONJUNTO,LENCERIA,302020100NG,fairuz
0101205420,2020F T100 AZUL FRAN,CONJUNTO,LENCERIA,302020100AZFR,fairuz
0101205430,2020F T100 LANGOS,CONJUNTO,LENCERIA,302020100LANG,fairuz
0101205440,2020F T100 BORDO,CONJUNTO,LENCERIA,302020100BOR,fairuz
0101205450,2020/EF T105 NUDE,CONJUNTO,LENCERIA,302020105NU,fairuz
0101205460,2020/EF T105 BLANCO,CONJUNTO,LENCERIA,302020105BCO,fairuz
0101205470,2020/EF T105 NEGRO,CONJUNTO,LENCERIA,302020105NG,fairuz
0101205480,2020/EF T105 AZUL FRAN,CONJUNTO,LENCERIA,302020105AZFR,fairuz
0101205490,2020/EF T105 LANGOS,CONJUNTO,LENCERIA,302020105LANG,fairuz
0101205500,2020/EF T105 BORDO,CONJUNTO,LENCERIA,302020105BOR,fairuz
0101205510,2020/EF T110 NUDE,CONJUNTO,LENCERIA,302020110NU,fairuz
0101205520,2020/EF T110 BLANCO,CONJUNTO,LENCERIA,302020110BCO,fairuz
0101205530,2020/EF T110 NEGRO,CONJUNTO,LENCERIA,302020110NG,fairuz
0101205540,2020/EF T110 AZUL FRAN,CONJUNTO,LENCERIA,302020110AZFR,fairuz
0101205550,2020/EF T110 LANGOS,CONJUNTO,LENCERIA,302020110LANG,fairuz
0101205560,2020/EF T110 BORDO,CONJUNTO,LENCERIA,302020110BOR,fairuz
0101205570,2030F T85 BLANCO,CONJUNTO,LENCERIA,302030085BCO,fairuz
0101205580,2030F T85 NEGRO,CONJUNTO,LENCERIA,302030085NEG,fairuz
0101205590,2030F T85 ROJO,CONJUNTO,LENCERIA,302030085ROJ,fairuz
0101205600,2030F T85 TURQUESA,CONJUNTO,LENCERIA,302030085TUR,fairuz
0101205610,2030F T85 FUCSIA,CONJUNTO,LENCERIA,302030085FUC,fairuz
0101205620,2030F T90 BLANCO,CONJUNTO,LENCERIA,302030090BCO,fairuz
0101205630,2030F T90 NEGRO,CONJUNTO,LENCERIA,302030090NEG,fairuz
0101205640,2030F T90 ROJO,CONJUNTO,LENCERIA,302030090ROJ,fairuz
0101205650,2030F T90 TURQUESA,CONJUNTO,LENCERIA,302030090TUR,fairuz
0101205660,2030F T90 FUCSIA,CONJUNTO,LENCERIA,302030090FUC,fairuz
0101205670,2030F T95 BLANCO,CONJUNTO,LENCERIA,302030095BCO,fairuz
0101205680,2030F T95 NEGRO,CONJUNTO,LENCERIA,302030095NEG,fairuz
0101205690,2030F T95 ROJO,CONJUNTO,LENCERIA,302030095ROJ,fairuz
0101205700,2030F T95 TURQUESA,CONJUNTO,LENCERIA,302030095TUR,fairuz
0101205710,2030F T95 FUCSIA,CONJUNTO,LENCERIA,302030095FUC,fairuz
0101205720,2030F T100 BLANCO,CONJUNTO,LENCERIA,302030100BCO,fairuz
0101205730,2030F T100 NEGRO,CONJUNTO,LENCERIA,302030100NEG,fairuz
0101205740,2030F T100 ROJO,CONJUNTO,LENCERIA,302030100ROJ,fairuz
0101205750,2030F T100 TURQUESA,CONJUNTO,LENCERIA,302030100TUR,fairuz
0101205760,2030F T100 FUCSIA,CONJUNTO,LENCERIA,302030100FUC,fairuz
0101205770,2033F T85 ROJO/NG,CONJUNTO,LENCERIA,302033085ROJ/NG,fairuz
0101205780,2033F T85 AZUL FR/NG,CONJUNTO,LENCERIA,302033085AZFR/NG,fairuz
0101205790,2033F T90 ROJO/NG,CONJUNTO,LENCERIA,302033090ROJFR,fairuz
0101205800,2033F T90 AZUL FR/NG,CONJUNTO,LENCERIA,302033090AZFRNG,fairuz
0101205810,2033F T95 ROJO/NG,CONJUNTO,LENCERIA,302033095ROJFR,fairuz
0101205820,2033F T95 AZUL FR/NG,CONJUNTO,LENCERIA,302033095AZFR/NG,fairuz
0101205830,2033F T100 ROJO/NG,CONJUNTO,LENCERIA,302033100ROJFR,fairuz
0101205840,2033F T100 AZUL FR/NG,CONJUNTO,LENCERIA,302033100AZFR/NG,fairuz
0101205850,2036F T85 BLANCO,CONJUNTO,LENCERIA,302036085BCO,fairuz
0101205860,2036F T85 NEGRO,CONJUNTO,LENCERIA,302036085NG,fairuz
0101205870,2036F T85 LANGOS,CONJUNTO,LENCERIA,302036085LANG,fairuz
0101205880,2036F T85 ROJO,CONJUNTO,LENCERIA,302036085ROJ,fairuz
0101205890,2036F T90 BLANCO,CONJUNTO,LENCERIA,302036090BCO,fairuz
0101205900,2036F T90 NEGRO,CONJUNTO,LENCERIA,302036090NG,fairuz
0101205910,2036F T90 LANGOS,CONJUNTO,LENCERIA,302036090LANG,fairuz
0101205920,2036F T90 ROJO,CONJUNTO,LENCERIA,302036090ROJ,fairuz
0101205930,2036F T95 BLANCO,CONJUNTO,LENCERIA,302036095BCO,fairuz
0101205940,2036F T95 NEGRO,CONJUNTO,LENCERIA,302036095NG,fairuz
0101205950,2036F T95 LANGOS,CONJUNTO,LENCERIA,302036095LANG,fairuz
0101205960,2036F T95 ROJO,CONJUNTO,LENCERIA,302036095ROJ,fairuz
0101205970,2036F T100 BLANCO,CONJUNTO,LENCERIA,302036100BCO,fairuz
0101205980,2036F T100 NEGRO,CONJUNTO,LENCERIA,302036100NG,fairuz
0101205990,2036F T100 LANGOS,CONJUNTO,LENCERIA,302036100LANG,fairuz
0101206000,2036F T100 ROJO,CONJUNTO,LENCERIA,302036100ROJ,fairuz
0101206010,2043F T85 BLANCO,CONJUNTO,LENCERIA,302043085BCO,fairuz
0101206020,2043F T85 NEGRO,CONJUNTO,LENCERIA,302043085NG,fairuz
0101206030,2043F T85 AZUL FRAN,CONJUNTO,LENCERIA,302043085AZFR,fairuz
0101206040,2043F T85 ROJO,CONJUNTO,LENCERIA,302043085ROJ,fairuz
0101206050,2043F T90 BLANCO,CONJUNTO,LENCERIA,302043090BCO,fairuz
0101206060,2043F T90 NEGRO,CONJUNTO,LENCERIA,302043090NG,fairuz
0101206070,2043F T90 AZUL FRAN,CONJUNTO,LENCERIA,302043090AZFR,fairuz
0101206080,2043F T90 ROJO,CONJUNTO,LENCERIA,302043090ROJ,fairuz
0101206090,2043F T95 BLANCO,CONJUNTO,LENCERIA,302043095BCO,fairuz
0101206100,2043F T95 NEGRO,CONJUNTO,LENCERIA,302043095NG,fairuz
0101206110,2043F T95 AZUL FRAN,CONJUNTO,LENCERIA,302043095AZFR,fairuz
0101206120,2043F T95 ROJO,CONJUNTO,LENCERIA,302043095ROJ,fairuz
0101206130,2043F T100 BLANCO,CONJUNTO,LENCERIA,302043100BCO,fairuz
0101206140,2043F T100 NEGRO,CONJUNTO,LENCERIA,302043100NG,fairuz
0101206150,2043F T100 AZUL FRAN,CONJUNTO,LENCERIA,302043100AZFR,fairuz
0101206160,2043F T100 ROJO,CONJUNTO,LENCERIA,302043100ROJ,fairuz
0101206170,2044F T85 BLANCO,CONJUNTO,LENCERIA,302044085BCO,fairuz
0101206180,2044F T85 NEGRO,CONJUNTO,LENCERIA,302044085NG,fairuz
0101206190,2044F T85 LANGOS,CONJUNTO,LENCERIA,302044085LANG,fairuz
0101206200,2044F T85 AZUL FRAN,CONJUNTO,LENCERIA,302044085AZFR,fairuz
0101206210,2044F T85 ALMENDRA,CONJUNTO,LENCERIA,302044085ALM,fairuz
0101206220,2044F T85 BORDO,CONJUNTO,LENCERIA,302044085BOR,fairuz
0101206230,2044F T90 BLANCO,CONJUNTO,LENCERIA,302044090BCO,fairuz
0101206240,2044F T90 NEGRO,CONJUNTO,LENCERIA,302044090NG,fairuz
0101206250,2044F T90 LANGOS,CONJUNTO,LENCERIA,302044090LANG,fairuz
0101206260,2044F T90 AZUL FRAN,CONJUNTO,LENCERIA,302044090AZFR,fairuz
0101206270,2044F T90 ALMENDRA,CONJUNTO,LENCERIA,302044090ALM,fairuz
0101206280,2044F T90 BORDO,CONJUNTO,LENCERIA,302044090BOR,fairuz
0101206290,2044F T95 BLANCO,CONJUNTO,LENCERIA,302044095BCO,fairuz
0101206300,2044F T95 NEGRO,CONJUNTO,LENCERIA,302044095NG,fairuz
0101206310,2044F T95 LANGOS,CONJUNTO,LENCERIA,302044095LANG,fairuz
0101206320,2044F T95 AZUL FRAN,CONJUNTO,LENCERIA,302044095AZFR,fairuz
0101206330,2044F T95 ALMENDRA,CONJUNTO,LENCERIA,302044095ALM,fairuz
0101206340,2044F T95 BORDO,CONJUNTO,LENCERIA,302044095BOR,fairuz
0101206350,2044F T100 BLANCO,CONJUNTO,LENCERIA,302044100BCO,fairuz
0101206360,2044F T100 NEGRO,CONJUNTO,LENCERIA,302044100NG,fairuz
0101206370,2044F T100 LANGOS,CONJUNTO,LENCERIA,302044100LANG,fairuz
0101206380,2044F T100 AZUL FRAN,CONJUNTO,LENCERIA,302044100AZFR,fairuz
0101206390,2044F T100 ALMENDRA,CONJUNTO,LENCERIA,302044100ALM,fairuz
0101206400,2044F T100 BORDO,CONJUNTO,LENCERIA,302044100BOR,fairuz
0101206410,2048F T85 BLANCO,CONJUNTO,LENCERIA,302048085BCO,fairuz
0101206420,2048F T85 NEGRO,CONJUNTO,LENCERIA,302048085NG,fairuz
0101206430,2048F T85 BORDO,CONJUNTO,LENCERIA,302048085BOR,fairuz
0101206440,2048F T85 LANG,CONJUNTO,LENCERIA,302048085LANG,fairuz
0101206450,2048F T85 CELESTE,CONJUNTO,LENCERIA,302048085CEL,fairuz
0101206460,2048F T90 BLANCO,CONJUNTO,LENCERIA,302048090BCO,fairuz
0101206470,2048F T90 NEGRO,CONJUNTO,LENCERIA,302048090NG,fairuz
0101206480,2048F T90 BORDO,CONJUNTO,LENCERIA,302048090BOR,fairuz
0101206490,2048F T90 LANG,CONJUNTO,LENCERIA,302048090LANG,fairuz
0101206500,2048F T90 CELESTE,CONJUNTO,LENCERIA,302048090CEL,fairuz
0101206510,2048F T95 BLANCO,CONJUNTO,LENCERIA,302048095BCO,fairuz
0101206520,2048F T95 NEGRO,CONJUNTO,LENCERIA,302048095NG,fairuz
0101206530,2048F T95 BORDO,CONJUNTO,LENCERIA,302048095BOR,fairuz
0101206540,2048F T95 LANG,CONJUNTO,LENCERIA,302048095LANG,fairuz
0101206550,2048F T95 CELESTE,CONJUNTO,LENCERIA,302048095CEL,fairuz
0101206560,2048F T100 BLANCO,CONJUNTO,LENCERIA,302048100BCO,fairuz
0101206570,2048F T100 NEGRO,CONJUNTO,LENCERIA,302048100NG,fairuz
0101206580,2048F T100 BORDO,CONJUNTO,LENCERIA,302048100BOR,fairuz
0101206590,2048F T100 LANG,CONJUNTO,LENCERIA,302048100LANG,fairuz
0101206600,2048F T100 CELESTE,CONJUNTO,LENCERIA,302048100CEL,fairuz
0101206610,2051F T85 BLANCO,CONJUNTO,LENCERIA,302051085BCO,fairuz
0101206620,2051F T85 NEGRO,CONJUNTO,LENCERIA,302051085NG,fairuz
0101206630,2051F T85 AZUL FRAN,CONJUNTO,LENCERIA,302051085AZFR,fairuz
0101206640,2051F T85 ROJO,CONJUNTO,LENCERIA,302051085ROJ,fairuz
0101206650,2051F T90 BLANCO,CONJUNTO,LENCERIA,302051090BCO,fairuz
0101206660,2051F T90 NEGRO,CONJUNTO,LENCERIA,302051090NG,fairuz
0101206670,2051F T90 AZUL FRAN,CONJUNTO,LENCERIA,302051090AZFR,fairuz
0101206680,2051F T90 ROJO,CONJUNTO,LENCERIA,302051090ROJ,fairuz
0101206690,2051F T95 BLANCO,CONJUNTO,LENCERIA,302051095BCO,fairuz
0101206700,2051F T95 NEGRO,CONJUNTO,LENCERIA,302051095NG,fairuz
0101206710,2051F T95 AZUL FRAN,CONJUNTO,LENCERIA,302051095AZFR,fairuz
0101206720,2051F T95 ROJO,CONJUNTO,LENCERIA,302051095ROJ,fairuz
0101206730,2051F T100 BLANCO,CONJUNTO,LENCERIA,302051100BCO,fairuz
0101206740,2051F T100 NEGRO,CONJUNTO,LENCERIA,302051100NG,fairuz
0101206750,2051F T100 AZUL FRAN,CONJUNTO,LENCERIA,302051100AZFR,fairuz
0101206760,2051F T100 ROJO,CONJUNTO,LENCERIA,302051100ROJ,fairuz
0101206770,2052F T90 BLANCO,CONJUNTO,LENCERIA,302052090BCO,fairuz
0101206780,2052F T90 NEGRO,CONJUNTO,LENCERIA,302052090NG,fairuz
0101206790,2052F T90 NUDE,CONJUNTO,LENCERIA,302052090NUD,fairuz
0101206800,2052F T90 BORDO,CONJUNTO,LENCERIA,302052090B0R,fairuz
0101206810,2052F T95 BLANCO,CONJUNTO,LENCERIA,302052095BCO,fairuz
0101206820,2052F T95 NEGRO,CONJUNTO,LENCERIA,302052095NG,fairuz
0101206830,2052F T95 NUDE,CONJUNTO,LENCERIA,302052095NUD,fairuz
0101206840,2052F T95 BORDO,CONJUNTO,LENCERIA,302052095B0R,fairuz
0101206850,2052F T100 BLANCO,CONJUNTO,LENCERIA,302052100BCO,fairuz
0101206860,2052F T100 NEGRO,CONJUNTO,LENCERIA,302052100NG,fairuz
0101206870,2052F T100 NUDE,CONJUNTO,LENCERIA,302052100NUD,fairuz
0101206880,2052F T100 BORDO,CONJUNTO,LENCERIA,302052100B0R,fairuz
0101206890,2052/EF T105 BLANCO,CONJUNTO,LENCERIA,302052105BCO,fairuz
0101206900,2052/EF T105 NEGRO,CONJUNTO,LENCERIA,302052105NG,fairuz
0101206910,2052/EF T105 NUDE,CONJUNTO,LENCERIA,302052105NUD,fairuz
0101206920,2052/EF T105 BORDO,CONJUNTO,LENCERIA,302052105B0R,fairuz
0101206930,2052/EF T110 BLANCO,CONJUNTO,LENCERIA,302052110BCO,fairuz
0101206940,2052/EF T11O NEGRO,CONJUNTO,LENCERIA,302052110NG,fairuz
0101206950,2052/EF T110 NUDE,CONJUNTO,LENCERIA,302052110NUD,fairuz
0101206960,2052/EF T110 BORDO,CONJUNTO,LENCERIA,302052110B0R,fairuz
0101206970,2055F T85 BLANCO,CONJUNTO,LENCERIA,302055085BCO,fairuz
0101206980,2055F T85 NEGRO,CONJUNTO,LENCERIA,302055085NGO,fairuz
0101206990,2055F T85 AZUL FRAN,CONJUNTO,LENCERIA,302055085AZFR,fairuz
