Cod_articulo,Descripcion,Desc_adicional,Codigo_de_Barras
0601002120,L20837 TXL BLANCO,CAMISON,2018208372984
0601002130,L20837 TXL NEGRO,CAMISON,2018208371584
0601002200,L20842 TL FLORES,CAMISON,20182084283
0601002210,L20842 TM FLORES,CAMISON,20182084282
0601002220,L20842 TS FLORES,CAMISON,20182084281
0601002230,L20842 TXL FLORES,CAMISON,20182084284
0601002240,L20842/E T5 FLORES,CAMISON,20182084205
0601002250,L20842/E T6 FLORES,CAMISON,20182084206
0601002310,L20843 T52 PUNTILLA,CAMISON,20182084352
0601002320,L20843 T48 CAMISON PUNTILLA,CAMISION,20182084348
0601002330,L20843 T50 CAMISON PUNTILLA,CAMISION,20182084350
0601002340,L20843 T52 CAMISON PUNTILLA,CAMISION,20182084354
0601002350,L20843 T54 CAMISON PUNTILLA,CAMISION,20182084356
0601002360,L20843 T58 CAMISON PUNTILLA,CAMISION,20182084358
0601002370,L20843 T60 CAMISON PUNTILLA,CAMISION,20182084360
0601002380,L20835 T S NEGRO,camison,2018208351581
0601002390,L20835 TL NEGRO,camison,2018208351583
0601002400,L20835 TL ROJO,camison,201820835683
0601002410,L20835 TM NEGRO,camison,2018208351582
0601002420,L20835 TM ROJO,camison,201820835682
0601002430,L20835 TXL NEGRO,camison,2018208351584
0601002440,L8832 TL Blanco Camison,CAMISON,1818882207
0601002450,L8832 TL Negro Camison,CAMISON,1818882208
0601002460,L8832 TM Blanco Camison,CAMISON,1818882209
0601002470,L8832 TM Negro Camison,CAMISON,1818882210
0601002480,L20835 TXL ROJO,camison,201820835684
0601002490,L20825 TS VARIOS,,20182082581
0601002510,L20825 TL VARIOS,,20182082583
0601002520,L20825 TXL VARIOS,,20182082584
0601002530,L20825 TM  VARIOS,,20182082582
0601002540,L20844/E/E T62 PICOT,CAMISON,20182084462
0601002550,L20844/E/E T64 PICOT,CAMISON,20182084464
0601002560,L20844/E/E T66 PICOT,CAMISON,20182084466
0601002570,L20924 T4 DINOS,CAMISON,20112092404
0601002580,L20924 T6 DINOS,CAMISON,20112092406
0601002590,L20924 T8 DINOS,CAMISON,20112092408
0601002600,L20924/G T10 DINOS,CAMISON,20112092410
0601002610,L20924/G T12 DINOS,CAMISON,20112092412
0601002620,L20924/G T14 DINOS,CAMISON,20112092414
0601002630,L20924/G T16 DINOS,CAMISON,20112092416
0601002640,L20821 TL AZUL,CAMISON,2018208211883
0601002650,L20821 TM AZUL,CAMISON,2018208211882
0601002660,L20821 TS AZUL,CAMISON,2018208211881
0601002670,L20821 TXL AZUL,CAMISON,2018208211884
0601002680,L20844E T60,CAMISON,20182084460
0601002690,L20844 T50,CAMISON,20182084450
0601002700,L20844 T52,CAMISON,20182084452
0601002710,L20844E T58,CAMISON,20182084458
0601002720,L20844E T56,CAMISON,20182084456
0601002730,L20844 T48,CAMISON,20182084448
0601002740,L20844 T54,CAMISON,20182084454
0601002750,L20825 T6 VARIOS,,20182082506
0601002760,L20825 T5 VARIOS,,20182082505
0601002770,L20730 TXL ROSA,PIJAMA,201820730184
0601002780,L20705 TXL ROSA,PIJAMA,201820705184
0601002790,L20705 TL ROSA,PIJAMA,201820705183
0601002800,L20705 TM ROSA,PIJAMA,201820705182
0601002810,L20705 TS ROSA,PIJAMA,201820705181
0602036830,L9381 TL PANTALON ESCOCES,PANTALON,1918938183
0602036840,L9780 T5 Print,PIJAMA VE 19,191897806805
0602036850,L9780 T5 Tropical,PIJAMA VE 19,191897806905
0602036860,L9780 T6 Print,PIJAMA VE 19,191897806806
0602036870,L9780 T6 Tropical,PIJAMA VE 19,191897806906
0602036880,L9780 T7 Print,PIJAMA VE 19,191897806807
0602036890,L9780 T7 Tropical,PIJAMA VE 19,191897806907
0602036900,L9780 T8 Print,PIJAMA VE 19,191897806808
0602036910,L9780 T8 Tropical,PIJAMA VE 19,191897806908
0602036920,L9370 TXL FUCSIA,PIJAMA,19189370784
0602036930,L9381 TS PANTALON ESCOCES,PANTALON,1918938181
