Cod_articulo,Descripcion,Desc_adicional,Familia,Codbarra,marca
0101183260,5542MK T90 VERDE,,LENCERIA,55420312,zailu
0101183270,5542MK T95 AZUL,,LENCERIA,554204130,zailu
0101183280,5542MK T95 ORQUIDEA,,LENCERIA,55420456,zailu
0101183290,5542MK T95 VERDE,,LENCERIA,55420412,zailu
0101187080,5428MK T85 CELESTE,CONJUNTO,LENCERIA,542802403,zailu
0101187090,5428MK T90 CELESTE,CONJUNTO,LENCERIA,542803403,zailu
0101187100,5428MK T95 CELESTE,CONJUNTO,LENCERIA,542804403,zailu
0101187110,5428MK T100 CELESTE,CONJUNTO,LENCERIA,542805403,zailu
0101190330,5519MK T95 ROSA,CONJUNTO,LENCERIA,551904334,zailu
0101190340,5519MK T90 ROSA,CONJUNTO,LENCERIA,551903334,zailu
0101190350,5519MK T100 ROSA,CONJUNTO,LENCERIA,551905334,zailu
0101190360,5519MK T85 ROSA,CONJUNTO,LENCERIA,551902334,zailu
0101190370,5519MK T95 CELESTE,CONJUNTO,LENCERIA,551904403,zailu
0101190380,5519MK T90 CELESTE,CONJUNTO,LENCERIA,551903403,zailu
0101190390,5519MK T100 CELESTE,CONJUNTO,LENCERIA,551905403,zailu
0101190400,5519MK T85 CELESTE,CONJUNTO,LENCERIA,551902403,zailu
0101190410,5518MK T95 ROSA,CONJUNTO,LENCERIA,551804334,zailu
0101190420,5518MK T90 ROSA,CONJUNTO,LENCERIA,551803334,zailu
0101190430,5518MK T85 ROSA,CONJUNTO,LENCERIA,551802334,zailu
0101190440,5518MK T100 ROSA,CONJUNTO,LENCERIA,551805334,zailu
0101190460,5518MK T90 CELESTE,CONJUNTO,LENCERIA,551803403,zailu
0101190470,5518MK T95 CELESTE,CONJUNTO,LENCERIA,551804403,zailu
0101190480,5518MK T100 CELESTE,CONJUNTO,LENCERIA,551805403,zailu
0101190490,5518MK T85 CELESTE,CONJUNTO,LENCERIA,551802403,zailu
0101196070,5562MK T95 CELESTE EDEN,CONJUNTO,LENCERIA,556204403,zailu
0101196080,5562MK T90 CELESTE EDEN,CONJUNTO,LENCERIA,556203403,zailu
0101196190,5560MK T90 NEGRO,CONJUNTO,LENCERIA,55600303,zailu
0101196200,5560MK T95 NEGRO,CONJUNTO,LENCERIA,55600403,zailu
0101197320,5555MK TS BLANCO,CONJUNTO,LENCERIA,55550101,zailu
0101197330,5555MK TM BLANCO,CONJUNTO,LENCERIA,55550201,zailu
0101197340,5555MK TL BLANCO,CONJUNTO,LENCERIA,55550301,zailu
0101197350,5555MK TS NEGRO,CONJUNTO,LENCERIA,55550103,zailu
