Cod_articulo,Descripcion,Desc_Adicional,Familia,Cod_barra
0302000380,B5BR TL FLAMINGO,TOP,INDUMENTARIA,00B5LAR069
0302000390,B5BR TM MELANGE,TOP,INDUMENTARIA,00B5MED013
0302000400,B5BR TM MARINO,TOP,INDUMENTARIA,00B5MED016
0302000410,B5BR TM FLAMINGO,TOP,INDUMENTARIA,00B5MED069
0302000420,B5BR TS MELANGE,TOP,INDUMENTARIA,00B5SMA013
0302000430,B5BR TS MARINO,TOP,INDUMENTARIA,00B5SMA016
0302000440,B5BR TS FLAMINGO,TOP,INDUMENTARIA,00B5SMA069
0302000450,B7BR T85 NEGRO,TOP,INDUMENTARIA,00B7085002
0302000460,B7BR T85 MELANGE,TOP,INDUMENTARIA,00B7085013
0302000470,B7BR T90 NEGRO,TOP,INDUMENTARIA,00B7090002
0302000480,B7BR T90 MELANGE,TOP,INDUMENTARIA,00B7090013
0302000490,B7BR T95 NEGRO,TOP,INDUMENTARIA,00B7095002
0302000500,B7BR T95 MELANGE,TOP,INDUMENTARIA,00B7095013
0302000510,B7BR T100 NEGRO,TOP,INDUMENTARIA,00B7100002
0302000520,B7BR T100 MELANGE,TOP,INDUMENTARIA,00B7100013
0302000530,B8BR TXL NEGRO,TOP,INDUMENTARIA,00B8EXL002
0302000540,B8BR TXL PINK,TOP,INDUMENTARIA,00B8EXL055
0302000550,B8BR TXL BLUE,TOP,INDUMENTARIA,00B8EXL061
0302000560,B8BR TXL LIMA,TOP,INDUMENTARIA,00B8EXL068
0302000570,B8BR TXL FLUO,TOP,INDUMENTARIA,00B8EXL084
0302000580,B8BR TL NEGRO,TOP,INDUMENTARIA,00B8LAR002
0302000590,B8BR TL PINK,TOP,INDUMENTARIA,00B8LAR055
0302000600,B8BR TL BLUE,TOP,INDUMENTARIA,00B8LAR061
0302000610,B8BR TL LIMA,TOP,INDUMENTARIA,00B8LAR068
0302000620,B8BR TL FLUO,TOP,INDUMENTARIA,00B8LAR084
0302000630,B8BR TM NEGRO,TOP,INDUMENTARIA,00B8MED002
0302000640,B8BR TM PINK,TOP,INDUMENTARIA,00B8MED055
0302000650,B8BR TM BLUE,TOP,INDUMENTARIA,00B8MED061
0302000660,B8BR TM LIMA,TOP,INDUMENTARIA,00B8MED068
0302000670,B8BR TM FLUO,TOP,INDUMENTARIA,00B8MED084
0302000680,B8BR TS NEGRO,TOP,INDUMENTARIA,00B8SMA002
0302000690,B8BR TS PINK,TOP,INDUMENTARIA,00B8SMA055
0302000700,B8BR TS BLUE,TOP,INDUMENTARIA,00B8SMA061
0302000710,B8BR TS LIMA,TOP,INDUMENTARIA,00B8SMA068
0302000720,B8BR TS FLUO,TOP,INDUMENTARIA,00B8SMA084
0302000730,B9BR TXL ACQUA,TOP,INDUMENTARIA,00B9EXL050
0302000740,B9BR TXL BLUE,TOP,INDUMENTARIA,00B9EXL061
0302000750,B9BR TXL BLACK,TOP,INDUMENTARIA,00B9EXL063
0302000760,B9BR TXL RAYO,TOP,INDUMENTARIA,00B9EXL070
0302000770,B9BR TXL CEBRA,TOP,INDUMENTARIA,00B9EXL071
0302000780,B9BR TXL CAMUFLADO,TOP,INDUMENTARIA,00B9EXL072
0302000790,B9BR TXL GEOMETRICO,TOP,INDUMENTARIA,00B9EXL088
0302000800,B9BR TXL JEAN,TOP,INDUMENTARIA,00B9EXL089
0302000810,B9BR TXL  ZAFIRO,TOP,INDUMENTARIA,00B9EXL095
0302000820,B9BR TXL ZAFIRO,TOP,INDUMENTARIA,00B9EXL103
0302000830,B9BR TL ACQUA,TOP,INDUMENTARIA,00B9LAR050
0302000840,B9BR TL BLUE,TOP,INDUMENTARIA,00B9LAR061
0302000850,B9BR TL BLACK,TOP,INDUMENTARIA,00B9LAR063
0302000860,B9BR TL RAYO,TOP,INDUMENTARIA,00B9LAR070
0302000870,B9BR TL CEBRA,TOP,INDUMENTARIA,00B9LAR071
0302000880,B9BR TL CAMUFLADO,TOP,INDUMENTARIA,00B9LAR072
0302000890,B9BR TL GEOMETRICO,TOP,INDUMENTARIA,00B9LAR088
0302000900,B9BR TL JEAN,TOP,INDUMENTARIA,00B9LAR089
0302000910,B9BR TL  ZAFIRO,TOP,INDUMENTARIA,00B9LAR095
0302000920,B9BR TL ZAFIRO,TOP,INDUMENTARIA,00B9LAR103
0302000930,B9BR TM ACQUA,TOP,INDUMENTARIA,00B9MED050
0302000940,B9BR TM BLUE,TOP,INDUMENTARIA,00B9MED061
0302000950,B9BR TM BLACK,TOP,INDUMENTARIA,00B9MED063
0302000960,B9BR TM RAYO,TOP,INDUMENTARIA,00B9MED070
0302000970,B9BR TM CEBRA,TOP,INDUMENTARIA,00B9MED071
0302000980,B9BR TM CAMUFLADO,TOP,INDUMENTARIA,00B9MED072
0302000990,B9BR TM GEOMETRICO,TOP,INDUMENTARIA,00B9MED088
0302001000,B9BR TM JEAN,TOP,INDUMENTARIA,00B9MED089
0302001010,B9BR TM  ZAFIRO,TOP,INDUMENTARIA,00B9MED095
0302001020,B9BR TM ZAFIRO,TOP,INDUMENTARIA,00B9MED103
0302001030,B9BR TS ACQUA,TOP,INDUMENTARIA,00B9SMA050
0302001040,B9BR TS BLUE,TOP,INDUMENTARIA,00B9SMA061
0302001050,B9BR TS BLACK,TOP,INDUMENTARIA,00B9SMA063
0302001060,B9BR TS RAYO,TOP,INDUMENTARIA,00B9SMA070
0302001070,B9BR TS CEBRA,TOP,INDUMENTARIA,00B9SMA071
0302001080,B9BR TS CAMUFLADO,TOP,INDUMENTARIA,00B9SMA072
0302001090,B9BR TS GEOMETRICO,TOP,INDUMENTARIA,00B9SMA088
0302001100,B9BR TS JEAN,TOP,INDUMENTARIA,00B9SMA089
0302001110,B9BR TS  ZAFIRO,TOP,INDUMENTARIA,00B9SMA095
0302001120,B9BR TS ZAFIRO,TOP,INDUMENTARIA,00B9SMA103
0302001130,B10BR TXL AZUL,TOP,INDUMENTARIA,0B10EXL015
0302001140,B10BR TL AZUL,TOP,INDUMENTARIA,0B10LAR015
0302001150,B10BR TM AZUL,TOP,INDUMENTARIA,0B10MED015
0302001160,B10BR TS AZUL,TOP,INDUMENTARIA,0B10SMA015
0302001170,B16BR TXL NEGRO,TOP,INDUMENTARIA,0B16EXL002
0302001180,B16BR TL NEGRO,TOP,INDUMENTARIA,0B16LAR002
0302001190,B16BR TM NEGRO,TOP,INDUMENTARIA,0B16MED002
0302001200,B16BR TS NEGRO,TOP,INDUMENTARIA,0B16SMA002
0302001210,B17BR TXL MELANGE,TOP,INDUMENTARIA,0B17EXL013
0302001220,B17BR TXL VIOLET,TOP,INDUMENTARIA,0B17EXL024
0302001230,B17BR TXL BLACK,TOP,INDUMENTARIA,0B17EXL063
0302001240,B17BR TL MELANGE,TOP,INDUMENTARIA,0B17LAR013
0302001250,B17BR TL VIOLET,TOP,INDUMENTARIA,0B17LAR024
0302001260,B17BR TL BLACK,TOP,INDUMENTARIA,0B17LAR063
0302001270,B17BR TM MELANGE,TOP,INDUMENTARIA,0B17MED013
0302001280,B17BR TM VIOLET,TOP,INDUMENTARIA,0B17MED024
0302001290,B17BR TM BLACK,TOP,INDUMENTARIA,0B17MED063
0302001300,B17BR TS MELANGE,TOP,INDUMENTARIA,0B17SMA013
0302001310,B17BR TS VIOLET,TOP,INDUMENTARIA,0B17SMA024
0302001320,B17BR TS BLACK,TOP,INDUMENTARIA,0B17SMA063
0302005640,B5BR TXL FLÚO,TOP,INDUMENTARIA,00B5EXL084
0302005650,B5BR TS FLÚO,TOP,INDUMENTARIA,00B5SMA084
0302005660,B5BR TM FLÚO,TOP,INDUMENTARIA,00B5MED084
0302005670,B17BR TOP,TOP,INDUMENTARIA,B17BR
0302005680,B5BR TL FLÚO,TOP,INDUMENTARIA,00B5LAR084
0302007770,B15BR TS BLANCO,TOP,INDUMENTARIA,0B15SMA001
0302007780,B15BR TM BLANCO,TOP,INDUMENTARIA,0B15MED001
0302007790,B15BR TL BLANCO,TOP,INDUMENTARIA,0B15LAR001
0302007920,B15BR TXL BLANCO,TOP,INDUMENTARIA,0B15EXL001
0302007930,B1BR TS MELANGE,,INDUMENTARIA,00B1SMA013
0302007940,B1BR TM MELANGE,,INDUMENTARIA,00B1MED013
0302007950,B1BR TL MELANGE,,INDUMENTARIA,00B1LAR013
0302007960,B1BR TXL MELANGE,,INDUMENTARIA,00B1EXL013
0302007970,B9BR TS GREY,TOP,INDUMENTARIA,00B9SMA101
0302007980,B9BR TM GREY,TOP,INDUMENTARIA,00B9MED101
0302007990,B9BR TL GREY,TOP,INDUMENTARIA,00B9LAR101
0302008000,B9BR TXL GREY,TOP,INDUMENTARIA,00B9EXL101
0302008010,B9BR TS SALMON,,INDUMENTARIA,00B9SMA079
0302008020,B9BR TM SALMON,,INDUMENTARIA,00B9MED079
0302008030,B9BR TL SALMON,,INDUMENTARIA,00B9LAR079
0302008040,B9BR TXL SALMON,,INDUMENTARIA,00B9EXL079
0302008050,B1BR TL BLANCO,TOP,INDUMENTARIA,00B1LAR001
0302008060,B1BR TM BLANCO,TOP,INDUMENTARIA,00B1MED001
0302008070,B1BR TXL BLANCO,TOP,INDUMENTARIA,00B1EXL001
0302008080,B1BR TS BLANCO,TOP,INDUMENTARIA,00B1SMA001
0302008090,B15BR TXL NEGRO,TOP,INDUMENTARIA,0B15EXL002
0302008100,B15BR TL NEGRO,TOP,INDUMENTARIA,0B15LAR002
0302008110,B15BR TS NEGRO,TOP,INDUMENTARIA,0B15SMA002
0302008120,B15BR TM NEGRO,TOP,INDUMENTARIA,0B15MED002
0302008130,B6BR TL NEGRO,TOP,INDUMENTARIA,00B6LAR002
0302008140,B6BR TXL NEGRO,TOP,INDUMENTARIA,00B6EXL002
0302008160,B8BR TS BLANCO,TOP,INDUMENTARIA,00B8SMA001
0302008170,B8BR TL BLANCO,TOP,INDUMENTARIA,00B8LAR001
0302008180,B8BR TXL BLANCO,TOP,INDUMENTARIA,00B8EXL001
0302008190,B8BR TM BLANCO,TOP,INDUMENTARIA,00B8MED001
0302008200,B9BR TS ROSE,TOP,INDUMENTARIA,00B9SMA100
0302008210,B9BR TXL ROSE,TOP,INDUMENTARIA,00B9EXL100
0302008220,B9BR TM ROSE,TOP,INDUMENTARIA,00B9MED100
0302008230,B9BR TL ROSE,TOP,INDUMENTARIA,00B9LAR100
0302008240,B6BR TS ESMERALDA,TOP,INDUMENTARIA,00B6SMA014
0302008250,B6BR TXL ESMERALDA,TOP,INDUMENTARIA,00B6EXL014
0302008260,B6BR TM ESMERALDA,TOP,INDUMENTARIA,00B6MED014
0302008270,B6BR TL ESMERALDA,TOP,INDUMENTARIA,00B6LAR014
0302008280,B6BR TS NEGRO,TOP,INDUMENTARIA,00B6SMA002
0302008290,B6BR TM NEGRO,TOP,INDUMENTARIA,00B6MED002
0302008300,B6BR TS MARINO,TOP,INDUMENTARIA,00B6SMA016
0302008310,B6BR TL MARINO,TOP,INDUMENTARIA,00B6LAR016
0302008320,B6BR TM MARINO,TOP,INDUMENTARIA,00B6MED016
0302008330,B6BR TXL MARINO,TOP,INDUMENTARIA,00B6EXL016
0302008340,B9BR TS AFRICA,TOP,INDUMENTARIA,00B9SMA122
0302008350,B9BR TM AFRICA,TOP,INDUMENTARIA,00B9MED122
0302008360,B9BR TL AFRICA,TOP,INDUMENTARIA,00B9LAR122
0302008370,B9BR T XL AFRICA,TOP,INDUMENTARIA,00B9EXL122
0302008970,B1 TM FLAMINGO,TOP,INDUMENTARIA,00B1MED069
0302008980,B1 TL FLAMINGO,TOP,INDUMENTARIA,00B1LAR069
0302008990,B1 TS FLAMINGO,TOP,INDUMENTARIA,00B1SMA069
0302009000,B1 TXL FLAMINGO,TOP,INDUMENTARIA,00B1EXL069
0302009010,B15 TM ROJO,TOP,INDUMENTARIA,0B15MED004
0302009020,B15 TS ROJO,TOP,INDUMENTARIA,0B15SMA004
0302009030,B15 TXL ROJO,TOP,INDUMENTARIA,0B15EXL004
0302009040,B15 TL ROJO,TOP,INDUMENTARIA,0B15LAR004
0303014760,7003BR TXXL NEGRO,REMERA,INDUMENTARIA,7003XXL002
0304000350,2206BR TL MELANGE,MUSCULOSA,INDUMENTARIA,2206LAR013
0304000360,2206BR TM MELANGE,MUSCULOSA,INDUMENTARIA,2206MED013
0304000370,2206BR TS MELANGE,MUSCULOSA,INDUMENTARIA,2206SMA013
0307000010,G12BR TXL NEGRO,BABUCHA,INDUMENTARIA,0G12EXL002
0307000020,G12BR TL NEGRO,BABUCHA,INDUMENTARIA,0G12LAR002
0307000030,G12BR TM NEGRO,BABUCHA,INDUMENTARIA,0G12MED002
0307000040,G12BR TS NEGRO,BABUCHA,INDUMENTARIA,0G12SMA002
0323000010,2207BR T85 MELANGE,DEPORTIVO,INDUMENTARIA,2207085013
0323000020,2207BR T95 MELANGE,DEPORTIVO,INDUMENTARIA,2207095013
0323000030,2207BR T90 MELANGE,DEPORTIVO,INDUMENTARIA,2207090013
0323000040,578BR T100 FLAMINGO,DEPORTIVO,INDUMENTARIA,5780100069
0323000050,578BR T105 FLAMINGO,DEPORTIVO,INDUMENTARIA,5780105069
0323000060,2204BR T85 FLAMINGO,DEPORTIVO,INDUMENTARIA,22041085069
0323000070,2207BR T100 MELANGE,DEPORTIVO,INDUMENTARIA,2207100013
0402000010,A1BR TU UNICO,TOALLA,BLANQUERIA,00A1UNI093
0402000020,A1BR SET TOALLA Y TOALLON,TOALLA,BLANQUERIA,00A1UNIUNI
0402004170,G100BR KIT DE TOALLA,TOALLA,BLANQUERIA,7798132803202
0402004180,G100BR KIT DE TOALLA,TOALLA,BLANQUERIA,G100BR
0402004190,G100BR1 TOALLA BRIGITTE,TOALLA,BLANQUERIA,G100BR1
0402004200,G100BR2 TOALLON BRIGITTE,TOALLA,BLANQUERIA,G100BR2
0402004210,G100BR TU UNICO,TOALLA,BLANQUERIA,G100UNI093
