Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_Barras
0201000700,6046BR T8 TURQUESA,BOXER,LINEA UNDERWARE HOMBRE,6046008104
0201000710,6046BR T10 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6046010013
0201000720,6046BR T10 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6046010016
0201000730,6046BR T10 TURQUESA,BOXER,LINEA UNDERWARE HOMBRE,6046010104
0201000740,6046BR T12 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6046012013
0201000750,6046BR T12 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6046012016
0201000760,6046BR T12 TURQUESA,BOXER,LINEA UNDERWARE HOMBRE,6046012104
0201000770,6046BR T14 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6046014013
0201000780,6046BR T14 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6046014016
0201000790,6046BR T14 TURQUESA,BOXER,LINEA UNDERWARE HOMBRE,6046014104
0201000800,6054BR T14 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6054004013
0201000810,6054BR T6 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6054006013
0201000820,6054BR T8 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6054008013
0201000830,6054BR T10 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6054010013
0201000840,6054BR T12 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6054012013
0201000850,6054BR T16 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6054014013
0201000860,6087BR T4 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6087004013
0201000870,6087BR T4 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6087004016
0201000880,6087BR T4 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6087004068
0201000890,6087BR T6 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6087006013
0201000900,6087BR T6 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6087006016
0201000910,6087BR T6 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6087006068
0201000920,6087BR T8 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6087008013
0201000930,6087BR T8 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6087008016
0201000940,6087BR T8 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6087008068
0201000950,6087BR T10 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6087010013
0201000960,6087BR T10 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6087010016
0201000970,6087BR T10 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6087010068
0201000980,6087BR T12 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6087012013
0201000990,6087BR T12 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6087012016
0201001000,6087BR T12 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6087012068
0201001010,6087BR T14 MELANGE,BOXER,LINEA UNDERWARE HOMBRE,6087014013
0201001020,6087BR T14 MARINO,BOXER,LINEA UNDERWARE HOMBRE,6087014016
0201001030,6087BR T14 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6087014068
0201001040,5000BR TXXL AZUL,BOXER,LINEA UNDERWARE HOMBRE,5000XXL015
0201001050,5001BR SLIP ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5001BR
0201001060,5003BR BOXER ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5003BR
0201001070,5004BR BOXER ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5004BR
